Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F
S;11;Rho - Chiasso;1;1;Rho;;;;;07.13;07.43;08.13;09.13;09.43;10.13;10.43;11.13;11.43;12.13;12.43;13.13;13.43;14.13;14.43;15.13;15.43;16.13;16.43;17.13;17.43;18.13;18.43;19.13;19.43;20.13;20.43;21.13;21.43;22.13;22.43;23.13
S;11;Rho - Chiasso;1;2;Rho Fiera Expo Milano 2015;;;;;07.21;07.51;08.21;09.21;09.51;10.21;10.51;11.21;11.51;12.21;12.51;13.21;13.51;14.21;14.51;15.21;15.51;16.21;16.51;17.21;17.51;18.21;18.51;19.21;19.51;20.21;20.51;21.21;21.51;22.21;22.51;23.21
S;11;Rho - Chiasso;1;3;Milano Certosa;;;06.26;06.56;07.26;07.56;08.26;09.26;09.56;10.26;10.56;11.26;11.56;12.26;12.56;13.26;13.56;14.26;14.56;15.26;15.56;16.26;16.56;17.26;17.56;18.26;18.56;19.26;19.56;20.26;20.56;21.26;21.56;22.26;22.56;23.26
S;11;Rho - Chiasso;1;4;Milano Villapizzone;;;06.29;06.59;07.29;07.59;08.29;09.29;09.59;10.29;10.59;11.29;11.59;12.29;12.59;13.29;13.59;14.29;14.59;15.29;15.59;16.29;16.59;17.29;17.59;18.29;18.59;19.29;19.59;20.29;20.59;21.29;21.59;22.29;22.59;23.29
S;11;Rho - Chiasso;1;5; Milano Porta Garibaldi;05.39;06.09;06.39;07.09;07.39;08.09;08.39;09.39;10.39;11.39;11.09;11.39;12.09;12.39;13.09;13.39;14.09;14.39;15.09;15.39;16.09;16.39;17.09;17.39;18.09;18.39;19.09;19.39;20.09;20.39;21.09;21.39;22.09;22.39;23.09;23.39
S;11;Rho - Chiasso;1;6; Milano Greco Pirelli;05.46;06.16;06.46;07.16;07.46;08.16;08.46;09.46;10.46;11.46;11.16;11.46;12.16;12.46;13.16;13.46;14.16;14.46;15.16;15.46;16.16;16.46;17.16;17.46;18.16;18.46;19.16;19.46;20.16;20.46;21.16;21.46;22.16;22.46;23.16;23.46
S;11;Rho - Chiasso;1;7; Sesto San Giovanni;05.50;06.20;06.50;07.20;07.50;08.20;08.50;09.50;10.50;11.50;11.20;11.50;12.20;12.50;13.20;13.50;14.20;14.50;15.20;15.50;16.20;16.50;17.20;17.50;18.20;18.50;19.20;19.50;20.20;20.50;21.20;21.50;22.20;22.50;23.20;23.50
S;11;Rho - Chiasso;1;8; Monza;05.56;06.26;06.56;07.26;07.56;08.26;08.56;09.56;10.56;11.56;11.26;11.56;12.26;12.56;13.26;13.56;14.26;14.56;15.26;15.56;16.26;16.56;17.26;17.56;18.26;18.56;19.26;19.56;20.26;20.56;21.26;21.56;22.26;22.56;23.26;23.56
S;11;Rho - Chiasso;1;9; Lissone;06.01;06.31;07.01;07.31;08.01;08.31;09.01;10.01;11.01;12.01;11.31;12.01;12.31;13.01;13.31;14.01;14.31;15.01;15.31;16.01;16.31;17.01;17.31;18.01;18.31;19.01;19.31;20.01;20.31;21.01;21.31;22.01;22.31;23.01;23.31;00.01
S;11;Rho - Chiasso;1;10; Desio;06.05;06.35;07.05;07.35;08.05;08.35;09.05;10.05;11.05;12.05;11.35;12.05;12.35;13.05;13.35;14.05;14.35;15.05;15.35;16.05;16.35;17.05;17.35;18.05;18.35;19.05;19.35;20.05;20.35;21.05;21.35;22.05;22.35;23.05;23.35;00.05
S;11;Rho - Chiasso;1;11; Seregno;06.09;06.39;07.09;07.39;08.09;08.39;09.09;10.09;11.09;12.09;11.39;12.09;12.39;13.09;13.39;14.10;14.39;15.09;15.39;16.09;16.39;17.09;17.39;18.09;18.40;19.09;19.40;20.09;20.39;21.09;21.39;22.09;22.39;23.09;23.39;00.09
S;11;Rho - Chiasso;1;12; Camnago Lentate;06.14;06.44;07.14;07.44;08.14;08.44;09.14;10.14;11.14;12.14;11.44;12.14;12.44;13.14;13.44;14.15;14.44;15.14;15.44;16.14;16.44;17.14;17.44;18.14;18.45;19.14;19.44;20.14;20.44;21.14;21.44;22.14;22.44;23.14;23.44;00.14
