Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F
S;7; Milano Porta Garibaldi - Lecco via Besana;1;1;Milano Porta Garibaldi;05.47;;;08.14;09.14;10.14;11.14;12.14;13.14;13.44;14.14;15.14;16.14;16.44;17.14;17.44;18.14;18.44;19.14;20.14
S;7; Milano Porta Garibaldi - Lecco via Besana;1;2;Milano Greco Pirelli;05.55;;;08.22;09.22;10.22;11.22;12.22;13.22;13.52;14.22;15.22;16.22;16.52;17.22;17.52;18.22;18.52;19.22;20.22
S;7; Milano Porta Garibaldi - Lecco via Besana;1;3;Sesto San Giovanni;06.00;;;08.27;09.27;10.27;11.27;12.27;13.27;13.57;14.27;15.27;16.27;16.57;17.27;17.57;18.27;18.57;19.27;20.27
S;7; Milano Porta Garibaldi - Lecco via Besana;1;4;Monza;06.05;06.37;07.07;08.33;09.33;10.33;11.33;12.33;13.33;14.03;14.33;15.33;16.33;17.03;17.33;18.03;18.33;19.03;19.33;20.33
S;7; Milano Porta Garibaldi - Lecco via Besana;1;5;Monza Sobborghi;06.08;06.40;07.11;08.37;09.37;10.37;11.37;12.37;13.37;14.07;14.37;15.37;16.37;17.07;17.37;18.07;18.37;19.07;19.37;20.36
S;7; Milano Porta Garibaldi - Lecco via Besana;1;6;Villasanta;06.18;06.49;07.20;08.43;09.43;10.43;11.43;12.43;13.43;14.18;14.43;15.43;16.43;17.18;17.43;18.18;18.43;19.18;19.43;20.41
S;7; Milano Porta Garibaldi - Lecco via Besana;1;7;Buttafava;06.22;06.52;07.24;08.48;09.48;10.48;11.48;12.48;13.48;14.23;14.48;15.48;16.48;17.23;17.48;18.23;18.48;19.23;19.48;20.45
S;7; Milano Porta Garibaldi - Lecco via Besana;1;8;Biassono Lesmo;06.25;06.55;07.27;08.51;09.51;10.51;11.51;12.51;13.51;14.26;14.51;15.51;16.51;17.26;17.51;18.26;18.51;19.26;19.51;20.48
S;7; Milano Porta Garibaldi - Lecco via Besana;1;9;Macherio Canonica;06.28;06.58;07.30;08.54;09.54;10.54;11.54;12.54;13.54;14.29;14.54;15.54;16.54;17.29;17.54;18.29;18.54;19.29;19.54;20.51
S;7; Milano Porta Garibaldi - Lecco via Besana;1;10;Triuggio Ponte Albiate;06.36;07.06;07.34;09.02;10.02;11.02;12.02;13.02;14.02;14.33;15.02;16.02;17.02;17.33;18.02;18.33;19.02;19.33;20.02;20.55
S;7; Milano Porta Garibaldi - Lecco via Besana;1;11;Carate Calò;06.40;07.09;07.37;09.06;10.06;11.06;12.06;13.06;14.06;14.36;15.06;16.06;17.06;17.37;18.06;18.36;19.06;19.36;20.06;20.58
S;7; Milano Porta Garibaldi - Lecco via Besana;1;12;Villa Raverio;06.44;07.13;07.41;09.10;10.10;11.10;12.10;13.10;14.10;14.40;15.10;16.10;17.10;17.41;18.10;18.40;19.10;19.40;20.10;21.02
S;7; Milano Porta Garibaldi - Lecco via Besana;1;13;Besana;06.50;07.21;07.44;09.14;10.14;11.14;12.14;13.14;14.14;14.44;15.14;16.14;17.14;17.49;18.14;18.49;19.14;19.49;20.14;21.06
S;7; Milano Porta Garibaldi - Lecco via Besana;1;14;Renate Veduggio;06.55;07.25;;09.18;10.18;11.18;12.18;13.18;14.18;;15.18;16.18;17.18;17.52;18.18;18.52;19.18;19.52;20.18;21.10
S;7; Milano Porta Garibaldi - Lecco via Besana;1;15;Cassago-Nibionno-Bulciago;06.59;07.28;;09.21;10.21;11.21;12.21;13.21;14.21;;15.21;16.21;17.21;17.55;18.21;18.55;19.21;19.55;20.21;21.13
S;7; Milano Porta Garibaldi - Lecco via Besana;1;16;Costa Masnaga;07.09;07.35;;09.25;10.25;11.25;12.25;13.25;14.25;;15.25;16.25;17.25;17.59;18.25;18.59;19.25;19.59;20.25;21.17
S;7; Milano Porta Garibaldi - Lecco via Besana;1;17;Molteno;07.19;07.40;;09.31;10.31;11.31;12.31;13.31;14.31;;15.31;16.31;17.31;18.03;18.33;19.03;19.33;20.03;20.31;21.22
S;7; Milano Porta Garibaldi - Lecco via Besana;1;18;Oggiono;07.24;07.50;;09.36;10.36;11.36;12.36;13.36;14.36;;15.36;16.36;17.36;18.07;18.38;19.07;19.38;20.07;20.36;21.27
S;7; Milano Porta Garibaldi - Lecco via Besana;1;19;Sala al Barro Galbiate;07.29;07.55;;09.41;10.41;11.41;12.41;13.41;14.41;;15.41;16.41;17.41;;18.43;19.11;19.43;20.11;20.41;21.32
S;7; Milano Porta Garibaldi - Lecco via Besana;1;20;Civate;07.32;;;09.44;10.44;11.44;12.44;13.44;14.44;;15.44;16.44;17.44;;18.46;19.14;19.46;20.14;20.44;21.35
S;7; Milano Porta Garibaldi - Lecco via Besana;1;21;Valmadrera;07.40;08.00;;09.47;10.47;11.47;12.47;13.47;14.47;;15.47;16.47;17.47;18.17;18.49;19.17;19.49;20.17;20.47;21.38
S;7; Milano Porta Garibaldi - Lecco via Besana;1;22;Lecco;07.46;08.05;;09.53;10.53;11.53;12.53;13.53;14.53;;15.53;16.53;17.53;18.23;18.56;19.26;19.56;20.26;20.53;21.44
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;1;Lecco;05.16;05.48;06.07;06.40;06.55;07.34;08.07;;09.07;10.07;11.07;12.07;13.07;14.07;;15.07;16.07;17.07;18.07;19.07
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;2;Valmadrera;05.21;05.53;06.13;06.46;07.00;07.39;08.13;;09.13;10.13;11.13;12.13;13.13;14.13;;15.13;16.13;17.13;18.18;19.18
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;3;Civate;;05.56;06.16;06.49;07.03;07.42;08.16;;09.16;10.16;11.16;12.16;13.16;14.16;;15.16;16.16;17.16;18.21;19.21
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;4;Sala al Barro Galbiate;;05.58;06.18;06.51;07.05;07.44;08.18;;09.18;10.18;11.18;12.18;13.18;14.18;;15.18;16.18;17.18;18.23;19.23
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;5;Oggiono;05.28;06.03;06.23;06.57;07.15;07.49;08.23;;09.23;10.23;11.23;12.23;13.23;14.23;;15.23;16.23;17.23;18.28;19.28
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;6;Molteno;05.32;06.07;06.27;07.02;07.25;07.53;08.32;;09.32;10.32;11.32;12.32;13.32;14.32;;15.32;16.32;17.32;18.32;19.32
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;7;Costa Masnaga;05.37;06.11;06.33;07.08;07.36;07.58;08.36;;09.36;10.36;11.36;12.36;13.36;14.36;;15.36;16.36;17.37;18.37;19.37
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;8;Cassago-Nibionno-Bulciago;05.41;06.16;06.37;07.12;07.40;08.02;08.40;;09.40;10.40;11.40;12.40;13.40;14.40;;15.40;16.40;17.41;18.41;19.41
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;9;Renate Veduggio;05.44;06.19;06.41;07.16;07.43;08.05;08.43;;09.43;10.43;11.43;12.43;13.43;14.43;;15.43;16.43;17.44;18.44;19.44
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;10;Besana;05.49;06.23;06.51;07.20;07.48;08.14;08.48;09.15;09.48;10.48;11.48;12.48;13.48;14.48;15.15;15.48;16.48;17.48;18.48;19.48
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;11;Villa Raverio;05.53;06.27;06.56;07.24;07.52;08.18;08.52;09.19;09.52;10.52;11.52;12.52;13.52;14.52;15.19;15.52;16.52;17.53;18.52;19.52
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;12;Carate Calò;05.56;06.30;07.00;07.27;07.55;08.21;08.55;09.22;09.55;10.55;11.55;12.55;13.55;14.55;15.22;15.55;16.55;17.56;18.56;19.56
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;13;Triuggio Ponte Albiate;06.00;06.35;07.05;07.35;08.01;08.25;09.01;09.26;10.01;11.01;12.01;13.01;14.01;15.01;15.26;16.01;17.01;18.01;19.01;20.01
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;14;Macherio Canonica;06.04;06.38;07.08;07.38;08.05;08.28;09.05;09.29;10.05;11.05;12.05;13.05;14.05;15.05;15.29;16.05;17.05;18.05;19.05;20.05
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;15;Biassono Lesmo;06.08;06.41;07.12;07.41;08.09;08.32;09.09;09.33;10.09;11.09;12.09;13.09;14.09;15.09;15.33;16.09;17.09;18.09;19.09;20.09
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;16;Buttafava;06.11;06.44;07.15;07.44;08.12;08.35;09.12;09.36;10.12;11.12;12.12;13.12;14.12;15.12;15.36;16.12;17.12;18.12;19.12;20.12
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;17;Villasanta;06.17;06.48;07.19;07.48;08.17;08.44;09.17;09.44;10.17;11.17;12.17;13.17;14.17;15.17;15.44;16.17;17.17;18.17;19.17;20.17
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;18;Monza Sobborghi;06.23;06.54;07.24;07.53;08.22;08.50;09.22;09.50;10.22;11.22;12.22;13.22;14.22;15.22;15.50;16.22;17.22;18.22;19.22;20.22
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;19;Monza;06.26;06.58;07.28;07.56;08.26;08.56;09.26;09.56;10.26;11.26;12.26;13.26;14.26;15.26;15.56;16.26;17.26;18.26;19.26;20.26
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;20;Sesto San Giovanni;;;07.32;08.00;08.30;09.00;09.30;10.01;10.30;11.30;12.30;13.30;14.30;15.30;16.01;16.30;17.30;18.30;19.30;20.30
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;21;Milano Greco Pirelli;;;07.36;08.04;08.34;09.04;09.34;10.07;10.34;11.34;12.34;13.34;14.34;15.34;16.07;16.34;17.34;18.34;19.34;20.34
S;7;Lecco -  Milano Porta Garibaldi via Besana;0;22;Milano Porta Garibaldi;;;07.46;08.16;08.46;09.16;09.46;10.16;10.46;11.46;12.46;13.46;14.46;15.46;16.16;16.46;17.46;18.46;19.46;20.46
;;;;;;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F
