Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV-S;LV-S-F;LV;LV-S-F;LV-S;LV-S-F;LV;LV-S-F;LV-S-F;LV-S-F;LV-S;LV-S-F;;
S;8;Lecco -  Milano Porta Garibaldi;0;1; Lecco;5.15;6.07;6.37;7.07;7.37;8.07;9.07;10.07;11.07;12.07;13.07;13.37;14.07;14.37;15.07;15.37;16.07;16.37;17.07;17.37;18.07;18.37;19.07;19.37;20.07;20.37;21.07;21.37;22.07;;
S;8;Lecco -  Milano Porta Garibaldi;0;2; Lecco Maggianico;5.19;6.11;6.41;7.11;7.41;8.11;9.11;10.11;11.11;12.11;13.11;13.41;14.11;14.41;15.11;15.41;16.11;16.41;17.11;17.41;18.11;18.41;19.11;19.41;20.11;20.41;21.11;21.41;22.11;;
S;8;Lecco -  Milano Porta Garibaldi;0;3;Vercurago-S. Girolamo;5.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S;8;Lecco -  Milano Porta Garibaldi;0;4; Calolziocorte;5.27;6.19;6.49;7.19;7.49;8.19;9.19;10.19;11.19;12.19;13.19;13.49;14.19;14.49;15.19;15.49;16.19;16.49;17.19;17.49;18.19;18.49;19.19;19.49;20.19;20.49;21.19;21.49;22.19;;
S;8;Lecco -  Milano Porta Garibaldi;0;5; Airuno;5.33;6.25;6.55;7.25;7.55;8.25;9.25;10.25;11.25;12.25;13.25;13.55;14.25;14.55;15.25;15.55;16.25;16.55;17.25;17.55;18.25;18.55;19.25;19.55;20.25;20.55;21.25;21.55;22.25;;
S;8;Lecco -  Milano Porta Garibaldi;0;6; Olgiate;5.37;6.29;6.59;7.29;7.59;8.29;9.29;10.29;11.29;12.29;13.29;13.59;14.29;14.59;15.29;15.59;16.29;16.59;17.29;17.59;18.29;18.59;19.29;19.59;20.29;20.59;21.29;21.59;22.29;;
S;8;Lecco -  Milano Porta Garibaldi;0;7; Cernusco;5.41;6.33;7.03;7.33;8.03;8.33;9.33;10.33;11.33;12.33;13.33;14.03;14.33;15.03;15.33;16.03;16.33;17.03;17.33;18.03;18.33;19.03;19.33;20.03;20.33;21.03;21.33;22.03;22.33;;
S;8;Lecco -  Milano Porta Garibaldi;0;8; Osnago;5.44;6.36;7.06;7.36;8.06;8.36;9.36;10.36;11.36;12.36;13.36;14.06;14.36;15.06;15.36;16.06;16.36;17.06;17.36;18.06;18.36;19.06;19.36;20.06;20.36;21.06;21.36;22.06;22.36;;
S;8;Lecco -  Milano Porta Garibaldi;0;9; Carnate;5.48;6.40;7.10;7.40;8.10;8.40;9.40;10.40;11.40;12.40;13.40;14.10;14.40;15.10;15.40;16.10;16.40;17.10;17.40;18.10;18.40;19.10;19.40;20.10;20.40;21.10;21.40;22.10;22.40;;
S;8;Lecco -  Milano Porta Garibaldi;0;10; Arcore;5.53;6.45;7.15;7.45;8.15;8.45;9.45;10.45;11.45;12.45;13.45;14.15;14.45;15.15;15.45;16.15;16.45;17.15;17.45;18.15;18.45;19.15;19.45;20.15;20.45;21.15;21.45;22.15;22.45;;
