Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;F;LV-S;F;LV-S;F;LV-S;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;
S;9; Saronno - Albairate;0;1; Saronno;;;;6.05;6.35;7.05;7.35;8.05;8.35;9.05;9.05;9.35;9.35;10.05;10.05;10.35;11.05;11.35;12.05;12.35;13.05;13.35;14.05;14.35;15.05;15.35;16.05;16.35;17.05;17.35;18.05;18.35;19.05;19.35;20.05;20.35;21.05;21.35;22.05;22.35;
S;9; Saronno - Albairate;0;2; Saronno Sud;;;;6.09;6.39;7.09;7.39;8.09;8.39;9.09;9.09;9.39;9.39;10.09;10.09;10.39;11.09;11.39;12.09;12.39;13.09;13.39;14.09;14.39;15.09;15.39;16.09;16.39;17.09;17.39;18.09;18.39;19.09;19.39;20.09;20.39;21.09;21.39;22.09;22.39;
S;9; Saronno - Albairate;0;3; Ceriano Laghetto Solaro;;;;6.13;6.43;7.13;7.43;8.13;8.43;9.13;9.13;9.43;9.43;10.13;10.13;10.43;11.13;11.43;12.13;12.43;13.13;13.43;14.13;14.43;15.13;15.43;16.13;16.43;17.13;17.43;18.13;18.43;19.13;19.43;20.13;20.43;21.13;21.43;22.13;22.43;
S;9; Saronno - Albairate;0;4; Ceriano Laghetto Groane;;;;6.15;6.45;7.15;7.45;8.15;8.45;9.15;9.15;9.45;9.45;10.15;10.15;10.45;11.15;11.45;12.15;12.45;13.15;13.45;14.15;14.45;15.15;15.45;16.15;16.45;17.15;17.45;18.15;18.45;19.15;19.45;20.15;20.45;21.15;21.45;22.15;22.45;
S;9; Saronno - Albairate;0;5; Cesano Maderno Groane;;;;6.19;6.49;7.19;7.49;8.19;8.49;9.19;9.19;9.49;9.49;10.19;10.19;10.49;11.19;11.49;12.19;12.49;13.19;13.49;14.19;14.49;15.19;15.49;16.19;16.49;17.19;17.49;18.19;18.49;19.19;19.49;20.19;20.49;21.19;21.49;22.19;22.49;
S;9; Saronno - Albairate;0;6; Cesano Maderno;;;;6.22;6.52;7.22;7.52;8.22;8.52;9.22;9.22;9.52;9.52;10.22;10.22;10.52;11.22;11.52;12.22;12.52;13.22;13.52;14.22;14.52;15.22;15.52;16.22;16.52;17.22;17.52;18.22;18.52;19.22;19.52;20.22;20.52;21.22;21.52;22.22;22.52;
S;9; Saronno - Albairate;0;7; Seveso Baruccana;;;;6.24;6.54;7.24;7.54;8.24;8.54;9.24;9.24;9.54;9.54;10.24;10.24;10.54;11.24;11.54;12.24;12.54;13.24;13.54;14.24;14.54;15.24;15.54;16.24;16.54;17.24;17.54;18.24;18.54;19.24;19.54;20.24;20.54;21.24;21.54;22.24;22.54;
S;9; Saronno - Albairate;0;8; Seregno;;;6.04;6.34;7.04;7.34;8.04;8.34;9.04;9.29;9.34;10.04;10.04;10.29;10.34;11.04;11.34;12.04;12.34;13.04;13.34;14.04;14.34;15.04;15.34;16.04;16.34;17.04;17.34;18.04;18.34;19.04;19.34;20.04;20.34;21.04;21.34;22.10;22.40;23.04;
S;9; Saronno - Albairate;0;9; Desio;;;6.09;6.39;7.09;7.39;8.09;8.39;9.09;;9.39;10.09;10.09;;10.39;11.09;11.39;12.09;12.39;13.09;13.39;14.09;14.39;15.09;15.39;16.09;16.39;17.09;17.39;18.09;18.39;19.09;19.39;20.09;20.39;21.09;21.39;22.15;22.45;23.09;
S;9; Saronno - Albairate;0;10; Lissone;;;6.12;6.42;7.12;7.42;8.12;8.42;9.12;;9.42;10.12;10.12;;10.42;11.12;11.42;12.12;12.42;13.12;13.42;14.12;14.42;15.12;15.42;16.12;16.42;17.12;17.42;18.12;18.42;19.12;19.42;20.12;20.42;21.12;21.42;22.18;22.48;23.12;
S;9; Saronno - Albairate;0;11; Monza;;;6.17;6.47;7.17;7.47;8.17;8.47;9.17;;9.47;10.17;10.17;;10.47;11.17;11.47;12.17;12.47;13.17;13.47;14.17;14.47;15.17;15.47;16.17;16.47;17.17;17.47;18.17;18.47;19.17;19.47;20.17;20.47;21.17;21.47;22.24;22.54;23.17;
S;9; Saronno - Albairate;0;12; Sesto San Giovanni;;;6.23;6.53;7.23;7.53;8.23;8.53;9.23;;9.53;10.23;10.23;;10.53;11.23;11.53;12.23;12.53;13.23;13.53;14.23;14.53;15.23;15.53;16.23;16.53;17.23;17.53;18.23;18.53;19.23;19.53;20.23;20.53;21.23;21.53;22.30;23.00;23.26;
S;9; Saronno - Albairate;0;13; Milano Greco Pirelli;;;6.28;6.58;7.28;7.58;8.28;8.58;9.28;;9.58;10.28;10.28;;10.58;11.28;11.58;12.28;12.58;13.28;13.58;14.28;14.58;15.28;15.58;16.28;16.58;17.28;17.58;18.28;18.58;19.28;19.58;20.28;20.58;21.28;21.58;22.35;23.05;23.34;
S;9; Saronno - Albairate;0;14; Milano Porta Garibaldi;5.26;5.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.42;23.13;23.43;
S;9; Saronno - Albairate;0;15; Milano Lambrate;5.36;6.06;6.36;7.06;7.36;8.06;8.36;9.06;9.36;;10.06;10.36;10.36;;11.06;11.36;12.06;12.36;13.06;13.36;14.06;14.36;15.06;15.36;16.06;16.36;17.06;17.36;18.06;18.36;19.06;19.36;20.06;20.36;21.06;21.36;22.06;;;;
S;9; Saronno - Albairate;0;16;Milano Forlanini;05.40;06.10;06.40;7.10;7.40;8.10;8.40;9.10;9.40;;10.10;10.40;10.40;;11.10;11.40;12.10;12.40;13.10;13.40;14.10;14.40;15.10;15.40;16.10;16.40;17.10;17.40;18.10;18.40;19.10;19.40;20.10;20.40;21.10;21.40;22.10;;;;
S;9; Saronno - Albairate;0;17; Milano Porta Romana;5.47;6.17;6.47;7.17;7.47;8.17;8.47;9.17;9.47;;10.17;10.47;10.47;;11.17;11.47;12.17;12.47;13.17;13.47;14.17;14.47;15.17;15.47;16.17;16.47;17.17;17.47;18.17;18.47;19.17;19.47;20.17;20.47;21.17;21.47;22.17;;;;
S;9; Saronno - Albairate;0;18; Romolo;5.53;6.23;6.53;7.23;7.53;8.23;8.53;9.23;9.53;;10.23;10.53;10.53;;11.23;11.53;12.23;12.53;13.23;13.53;14.23;14.53;15.23;15.53;16.23;16.53;17.23;17.53;18.23;18.53;19.23;19.53;20.23;20.53;21.23;21.53;22.23;;;;
S;9; Saronno - Albairate;0;19; Milano San Cristoforo;6.00;6.30;7.00;7.30;8.00;8.30;9.00;9.30;10.00;;10.30;11.10;11.00;;11.30;12.00;12.30;13.00;13.30;14.00;14.30;15.00;15.30;16.00;16.30;17.00;17.30;18.00;18.30;19.00;19.30;20.00;20.30;21.00;21.30;22.00;22.30;;;;
S;9; Saronno - Albairate;0;20; Corsico;6.04;6.34;7.04;7.34;8.04;8.34;9.04;9.34;10.04;;10.34;11.14;11.04;;11.34;12.04;12.34;13.04;13.34;14.04;14.34;15.04;15.34;16.04;16.34;17.04;17.34;18.04;18.34;19.04;19.34;20.04;20.34;21.04;21.34;22.04;22.34;;;;
S;9; Saronno - Albairate;0;21; Cesano Boscone;6.07;6.37;7.07;7.37;8.07;8.37;9.07;9.37;10.07;;10.37;11.17;11.07;;11.37;12.07;12.37;13.07;13.37;14.07;14.37;15.07;15.37;16.07;16.37;17.07;17.37;18.07;18.37;19.07;19.37;20.07;20.37;21.07;21.37;22.07;22.37;;;;
S;9; Saronno - Albairate;0;22; Trezzano sul Naviglio;6.11;6.41;7.11;7.41;8.11;8.41;9.11;9.41;10.11;;10.41;11.21;11.11;;11.41;12.11;12.41;13.11;13.41;14.11;14.41;15.11;15.41;16.11;16.41;17.11;17.41;18.11;18.41;19.11;19.41;20.11;20.41;21.11;21.41;22.11;22.41;;;;
S;9; Saronno - Albairate;0;23; Gaggiano;6.15;6.45;7.15;7.45;8.15;8.45;9.15;9.45;10.15;;10.45;11.25;11.15;;11.45;12.15;12.45;13.15;13.45;14.15;14.45;15.15;15.45;16.15;16.45;17.15;17.45;18.15;18.45;19.15;19.45;20.15;20.45;21.15;21.45;22.15;22.45;;;;
S;9; Saronno - Albairate;0;24; Albairate ;6.22;6.52;7.22;7.52;8.22;8.52;9.22;9.52;10.22;;10.52;11.34;11.22;;11.52;12.22;12.52;13.22;13.52;14.22;14.52;15.22;15.52;16.22;16.52;17.22;17.52;18.22;18.52;19.22;19.52;20.22;20.52;21.22;21.52;22.22;22.52;;;;
S;9; Albairate - Saronno;1;1; Albairate ;;;;6.08;6.38;7.08;7.38;8.08;8.38;9.08;9.38;10.08;;10.26;10.38;11.08;;11.38;12.08;12.38;13.08;13.38;14.08;14.38;15.08;15.38;16.08;16.38;17.08;17.38;18.08;18.38;19.08;19.38;20.08;20.38;21.08;21.38;22.08;22.38;23.08
S;9; Albairate - Saronno;1;2; Gaggiano;;;;6.14;6.44;7.14;7.44;8.14;8.44;9.14;9.44;10.14;;10.32;10.44;11.14;;11.44;12.14;12.44;13.14;13.44;14.14;14.44;15.14;15.44;16.14;16.44;17.14;17.44;18.14;18.44;19.14;19.44;20.14;20.44;21.14;21.44;22.14;22.44;23.14
