Tipo,Linea,Percorso,verso,Prog,Fermata,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,S-F,LV,LV-S-F,S-F,LV,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,
S,13, Milano Bovisa - Pavia,0,1, Milano Bovisa,5.25,5.55,6.25,6.55,7.25,7.55,8.25,8.55,9.25,9.55,9.55,10.25,10.55,10.55,11.25,11.55,12.25,12.55,13.55,14.25,14.55,15.25,15.55,16.25,16.55,17.25,17.55,18.25,18.55,19.25,19.55,20.25,20.55,21.25,21.55,22.25,23.25,
S,13, Milano Bovisa - Pavia,0,2, Milano Lancetti,5.31,6.01,6.31,7.01,7.31,8.01,8.31,9.01,9.31,10.01,10.01,10.31,11.01,11.01,11.31,12.01,12.31,13.01,14.01,14.31,15.01,15.31,16.01,16.31,17.01,17.31,18.01,18.31,19.01,19.31,20.01,20.31,21.01,21.31,22.01,22.31,23.31,
S,13, Milano Bovisa - Pavia,0,3, Milano Porta Garibaldi,5.34,6.04,6.34,7.04,7.34,8.04,8.34,9.04,9.34,10.04,10.04,10.34,11.04,11.04,11.34,12.04,12.34,13.04,14.04,14.34,15.04,15.34,16.04,16.34,17.04,17.34,18.04,18.34,19.04,19.34,20.04,20.34,21.04,21.34,22.04,22.34,23.34,
S,13, Milano Bovisa - Pavia,0,4, Milano Repubblica,5.36,6.06,6.36,7.06,7.36,8.06,8.36,9.06,9.36,10.06,10.06,10.36,11.06,11.06,11.36,12.06,12.36,13.06,14.06,14.36,15.06,15.36,16.06,16.36,17.06,17.36,18.06,18.36,19.06,19.36,20.06,20.36,21.06,21.36,22.06,22.36,23.36,
S,13, Milano Bovisa - Pavia,0,5, Milano Porta Venezia,5.38,6.08,6.38,7.08,7.38,8.08,8.38,9.08,9.38,10.08,10.08,10.38,11.08,11.08,11.38,12.08,12.38,13.08,14.08,14.38,15.08,15.38,16.08,16.38,17.08,17.38,18.08,18.38,19.08,19.38,20.08,20.38,21.08,21.38,22.08,22.38,23.38,
S,13, Milano Bovisa - Pavia,0,6, Milano Dateo,5.41,6.11,6.41,7.11,7.41,8.11,8.41,9.11,9.41,10.11,10.11,10.41,11.11,11.11,11.41,12.11,12.41,13.11,14.11,14.41,15.11,15.41,16.11,16.41,17.11,17.41,18.11,18.41,19.11,19.41,20.11,20.41,21.11,21.41,22.11,22.41,23.41,
S,13, Milano Bovisa - Pavia,0,7, Milano Porta Vittoria,5.45,6.15,6.45,7.15,7.45,8.15,8.45,9.15,9.45,10.15,10.15,10.45,11.15,11.15,11.45,12.15,12.45,13.15,14.15,14.45,15.15,15.45,16.15,16.45,17.15,17.45,18.15,18.45,19.15,19.45,20.15,20.45,21.15,21.45,22.15,22.45,23.45,
S,13, Milano Bovisa - Pavia,0,8, Milano Rogoredo,5.53,6.23,6.53,7.23,7.53,8.23,8.53,9.23,9.53,10.23,10.23,10.53,11.23,11.23,11.53,12.23,12.53,13.23,14.23,14.53,15.23,15.53,16.23,16.53,17.23,17.53,18.23,18.53,19.23,19.53,20.23,20.53,21.23,21.53,22.23,22.53,23.53,
S,13, Milano Bovisa - Pavia,0,9, Locate Triulzi,6.01,6.31,7.01,7.31,8.01,8.31,9.01,9.31,10.01,,10.31,11.01,,11.31,12.01,12.31,13.01,13.31,14.31,15.01,15.31,16.01,16.31,17.01,17.31,18.01,18.31,19.01,19.31,20.01,20.31,21.01,21.31,22.01,22.31,23.01,0.01,
S,13, Milano Bovisa - Pavia,0,10, Pieve Emanuele,6.05,6.35,7.05,7.35,8.05,8.35,9.05,9.35,10.05,,10.35,11.05,,11.35,12.05,12.35,13.05,13.35,14.35,15.05,15.35,16.05,16.35,17.05,17.35,18.05,18.35,19.05,19.35,20.05,20.35,21.05,21.35,22.05,22.35,23.05,0.05,
