Tipo,Linea,Percorso,verso,Prog,Fermata,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV,LV
S,2,Mariano C - Rogoredo,0,1, Mariano Comense,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2,Mariano C - Rogoredo,0,2, Cabiate,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2,Mariano C - Rogoredo,0,3, Meda,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,2,Mariano C - Rogoredo,0,4, Seveso,6.41,7.11,7.41,8.11,8.41,9.11,9.41,10.11,10.41,12.41,13.11,13.41,14.11,14.41,15.11,15.41,16.11,16.41,17.11,17.41,18.11,18.41,19.11,19.41,20.11,20.41,21.11
S,2,Mariano C - Rogoredo,0,5, Cesano Maderno,6.44,7.14,7.44,8.14,8.44,9.14,9.44,10.14,10.44,12.44,13.14,13.44,14.14,14.44,15.14,15.44,16.14,16.44,17.14,17.44,18.14,18.44,19.14,19.44,20.14,20.44,21.14
S,2,Mariano C - Rogoredo,0,6, Bovisio Masciago ,6.46,7.16,7.46,8.16,8.46,9.16,9.46,10.16,10.46,12.46,13.16,13.46,14.16,14.46,15.16,15.46,16.16,16.46,17.16,17.46,18.16,18.46,19.16,19.46,20.16,20.46,21.16
S,2,Mariano C - Rogoredo,0,7, Varedo,6.49,7.19,7.49,8.19,8.49,9.19,9.49,10.19,10.49,12.49,13.19,13.49,14.19,14.49,15.19,15.49,16.19,16.49,17.19,17.49,18.19,18.49,19.19,19.49,20.19,20.49,21.19
S,2,Mariano C - Rogoredo,0,8, Palazzolo Milanese,6.52,7.22,7.52,8.22,8.52,9.22,9.52,10.22,10.52,12.52,13.22,13.52,14.22,14.52,15.22,15.52,16.22,16.52,17.22,17.52,18.22,18.52,19.22,19.52,20.22,20.52,21.22
S,2,Mariano C - Rogoredo,0,9, Paderno Dugnano,6.55,7.25,7.55,8.25,8.55,9.25,9.55,10.25,10.55,12.55,13.25,13.55,14.25,14.55,15.25,15.55,16.25,16.55,17.25,17.55,18.25,18.55,19.25,19.55,20.25,20.55,21.25
S,2,Mariano C - Rogoredo,0,10, Cusano Milanino,6.58,7.28,7.58,8.28,8.58,9.28,9.58,10.28,10.58,12.58,13.28,13.58,14.28,14.58,15.28,15.58,16.28,16.58,17.28,17.58,18.28,18.58,19.28,19.58,20.28,20.58,21.28
S,2,Mariano C - Rogoredo,0,11, Cormano,7.00,7.30,8.00,8.30,9.00,9.30,10.00,10.30,11.00,13.00,13.30,14.00,14.30,15.00,15.30,16.00,16.30,17.00,17.30,18.00,18.30,19.00,19.30,20.00,20.30,21.00,21.30
S,2,Mariano C - Rogoredo,0,12, Milano Bruzzano,7.02,7.32,8.02,8.32,9.02,9.32,10.02,10.32,11.02,13.02,13.32,14.02,14.32,15.02,15.32,16.02,16.32,17.02,17.32,18.02,18.32,19.02,19.32,20.02,20.32,21.02,21.32
