Tipo,Linea,Percorso,verso,Prog,Fermata,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,
S,3,Saronno - Cadorna,0,1, Saronno,5.23,5.53,6.23,6.53,7.23,7.53,8.23,8.53,9.23,9.53,10.23,10.53,11.23,11.53,12.23,12.53,13.23,13.53,14.23,14.53,15.23,15.53,16.23,16.53,17.23,17.53,18.23,18.53,19.23,19.53,20.23,20.53,21.23,21.53,22.23,22.53,23.23,23.53,
S,3,Saronno - Cadorna,0,2, Saronno Sud,5.26,5.56,6.26,6.56,7.26,7.56,8.26,8.56,9.26,9.56,10.26,10.56,11.26,11.56,12.26,12.56,13.26,13.56,14.26,14.56,15.26,15.56,16.26,16.56,17.26,17.56,18.26,18.56,19.26,19.56,20.26,20.56,21.26,21.56,22.26,22.56,23.26,23.56,
S,3,Saronno - Cadorna,0,3, Caronno Pertusella,5.29,5.59,6.29,6.59,7.29,7.59,8.29,8.59,9.29,9.59,10.29,10.59,11.29,11.59,12.29,12.59,13.29,13.59,14.29,14.59,15.29,15.59,16.29,16.59,17.29,17.59,18.29,18.59,19.29,19.59,20.29,20.59,21.29,21.59,22.29,22.59,23.29,23.59,
S,3,Saronno - Cadorna,0,4, Cesate,5.30,6.00,6.30,7.00,7.30,8.00,8.30,9.00,9.30,10.00,10.30,11.00,11.30,12.00,12.30,13.00,13.30,14.00,14.30,15.00,15.30,16.00,16.30,17.00,17.30,18.00,18.30,19.00,19.30,20.00,20.30,21.00,21.30,22.00,22.30,23.00,23.30,0.00,
S,3,Saronno - Cadorna,0,5, Garbagnate Milanese,5.33,6.03,6.33,7.03,7.33,8.03,8.33,9.03,9.33,10.03,10.33,11.03,11.33,12.03,12.33,13.03,13.33,14.03,14.33,15.03,15.33,16.03,16.33,17.03,17.33,18.03,18.33,19.03,19.33,20.03,20.33,21.03,21.33,22.03,22.33,23.03,23.33,0.03,
S,3,Saronno - Cadorna,0,6, Garbagnate Parco delle Groane,5.34,6.04,6.34,7.04,7.34,8.04,8.34,9.04,9.34,10.04,10.34,11.04,11.34,12.04,12.34,13.04,13.34,14.04,14.34,15.04,15.34,16.04,16.34,17.04,17.34,18.04,18.34,19.04,19.34,20.04,20.34,21.04,21.34,22.04,22.34,23.04,23.34,0.04,
S,3,Saronno - Cadorna,0,7, Bollate Nord,5.37,6.07,6.37,7.07,7.37,8.07,8.37,9.07,9.37,10.07,10.37,11.07,11.37,12.07,12.37,13.07,13.37,14.07,14.37,15.07,15.37,16.07,16.37,17.07,17.37,18.07,18.37,19.07,19.37,20.07,20.37,21.07,21.37,22.07,22.37,23.07,23.37,0.07,
S,3,Saronno - Cadorna,0,8, Bollate Centro,5.40,6.10,6.40,7.10,7.40,8.10,8.40,9.10,9.40,10.10,10.40,11.10,11.40,12.10,12.40,13.10,13.40,14.10,14.40,15.10,15.40,16.10,16.40,17.10,17.40,18.10,18.40,19.10,19.40,20.10,20.40,21.10,21.40,22.10,22.40,23.10,23.40,0.10,
S,3,Saronno - Cadorna,0,9, Novate Milanese,5.43,6.13,6.43,7.13,7.43,8.13,8.43,9.13,9.43,10.13,10.43,11.13,11.43,12.13,12.43,13.13,13.43,14.13,14.43,15.13,15.43,16.13,16.43,17.13,17.43,18.13,18.43,19.13,19.43,20.13,20.43,21.13,21.43,22.13,22.43,23.13,23.43,0.13,
S,3,Saronno - Cadorna,0,10, Milano Quarto Oggiaro,5.46,6.16,6.46,7.16,7.46,8.16,8.46,9.16,9.46,10.16,10.46,11.16,11.46,12.16,12.46,13.16,13.46,14.16,14.46,15.16,15.46,16.16,16.46,17.16,17.46,18.16,18.46,19.16,19.46,20.16,20.46,21.16,21.46,22.16,22.46,23.16,23.46,0.16,
