Tipo,Linea,Percorso,verso,Prog,Fermata,LV-S-F,LV-S-F,LV-S-F,LV,F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S,F,LV-S-F,LV-S,F,LV-S,F,LV-S-F,LV-S,F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S,F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S-F,LV-S,F,LV-S-F,LV-S,F,LV-S-F,LV-S,F,LV-S-F
S,5,Varese - Treviglio,0,1, Varese,,,5.13,5.43,,6.13,6.43,7.13,7.43,8.13,8.43,9.13,9.13,9.43,10.13,10.13,10.43,,11.13,11.43,,12.13,12.43,13.13,13.43,14.13,14.43,15.13,15.43,,16.13,16.43,17.13,17.43,18.13,18.43,19.13,19.43,20.13,20.43,,21.13,21.43,,22.13,22.43,,23.13
S,5,Varese - Treviglio,0,2, Gazzada,,,5.18,5.48,,6.18,6.48,7.18,7.48,8.18,8.48,9.18,9.18,9.48,10.18,10.18,10.48,,11.18,11.48,,12.18,12.48,13.18,13.48,14.18,14.48,15.18,15.48,,16.18,16.48,17.18,17.48,18.18,18.48,19.18,19.48,20.18,20.48,,21.18,21.48,,22.18,22.48,,23.18
S,5,Varese - Treviglio,0,3, Castronno,,,5.23,5.53,,6.23,6.53,7.23,7.53,8.23,8.53,9.23,9.23,9.53,10.23,10.23,10.53,,11.23,11.53,,12.23,12.53,13.23,13.53,14.23,14.53,15.23,15.53,,16.23,16.53,17.23,17.53,18.23,18.53,19.23,19.53,20.23,20.53,,21.23,21.53,,22.23,22.53,,23.23
S,5,Varese - Treviglio,0,4, Albizzate,,,5.28,5.58,,6.28,6.58,7.28,7.58,8.28,8.58,9.28,9.28,9.58,10.28,10.28,10.58,,11.28,11.58,,12.28,12.58,13.28,13.58,14.28,14.58,15.28,15.58,,16.28,16.58,17.28,17.58,18.28,18.58,19.28,19.58,20.28,20.58,,21.28,21.58,,22.28,22.58,,23.28
S,5,Varese - Treviglio,0,5, Cavaria Oggiona Jerago,,,5.32,6.02,,6.32,7.02,7.32,8.02,8.32,9.02,9.32,9.32,10.02,10.32,10.32,11.02,,11.32,12.02,,12.32,13.02,13.32,14.02,14.32,15.02,15.32,16.02,,16.32,17.02,17.32,18.02,18.32,19.02,19.32,20.02,20.32,21.02,,21.32,22.02,,22.32,23.02,,23.32
S,5,Varese - Treviglio,0,6, Gallarate,,,5.39,6.09,6.09,6.39,7.09,7.39,8.09,8.39,9.09,9.39,9.39,10.09,10.39,10.39,11.09,11.09,11.39,12.09,12.09,12.39,13.09,13.39,14.09,14.39,15.09,15.39,16.09,16.09,16.39,17.09,17.39,18.09,18.39,19.09,19.39,20.09,20.39,21.09,21.09,21.39,22.09,22.09,22.39,23.09,23.09,23.39
S,5,Varese - Treviglio,0,7, Busto Arsizio,,,5.45,6.15,6.15,6.45,7.15,7.45,8.15,8.45,9.15,9.45,9.45,10.15,10.45,10.45,11.15,11.15,11.45,12.15,12.15,12.45,13.15,13.45,14.15,14.45,15.15,15.45,16.15,16.15,16.45,17.15,17.45,18.15,18.45,19.15,19.45,20.15,20.45,21.15,21.15,21.45,22.15,22.15,22.45,23.15,23.15,23.45
S,5,Varese - Treviglio,0,8, Legnano,,,5.50,6.20,6.20,6.50,7.20,7.50,8.20,8.50,9.20,9.50,9.50,10.20,10.50,10.50,11.20,11.20,11.50,12.20,12.20,12.50,13.20,13.50,14.20,14.50,15.20,15.50,16.20,16.20,16.50,17.20,17.50,18.20,18.50,19.20,19.50,20.20,20.50,21.20,21.20,21.50,22.20,22.20,22.50,23.20,23.20,23.50
S,5,Varese - Treviglio,0,9, Canegrate,,,5.53,6.23,6.23,6.53,7.23,7.53,8.23,8.53,9.23,9.53,9.53,10.23,10.53,10.53,11.23,11.23,11.53,12.23,12.23,12.53,13.23,13.53,14.23,14.53,15.23,15.53,16.23,16.23,16.53,17.23,17.53,18.23,18.53,19.23,19.53,20.23,20.53,21.23,21.23,21.53,22.23,22.23,22.53,23.23,23.23,23.53
S,5,Varese - Treviglio,0,10, Parabiago,,,5.57,6.27,6.27,6.57,7.27,7.57,8.27,8.57,9.27,9.57,9.57,10.27,10.57,10.57,11.27,11.27,11.57,12.27,12.27,12.57,13.27,13.57,14.27,14.57,15.27,15.57,16.27,16.27,16.57,17.27,17.57,18.27,18.57,19.27,19.57,20.27,20.57,21.27,21.27,21.57,22.27,22.27,22.57,23.27,23.27,23.57
S,5,Varese - Treviglio,0,11, Vanzago,,,6.02,6.32,6.32,7.02,7.32,8.02,8.32,9.02,9.32,10.02,10.02,10.32,11.02,11.02,11.32,11.32,12.02,12.32,12.32,13.02,13.32,14.02,14.32,15.02,15.32,16.02,16.32,16.32,17.02,17.32,18.02,18.32,19.02,19.32,20.02,20.32,21.02,21.32,21.32,22.02,22.32,22.32,23.02,23.32,23.32,0.02
S,5,Varese - Treviglio,0,12, Rho,,,6.08,6.38,6.38,7.08,7.38,8.08,8.38,9.08,9.38,10.08,10.08,10.38,11.08,11.08,11.38,11.38,12.08,12.38,12.38,13.08,13.38,14.08,14.38,15.08,15.38,16.08,16.38,16.38,17.08,17.38,18.08,18.38,19.08,19.38,20.08,20.38,21.08,21.38,21.38,22.08,22.38,22.38,23.08,23.38,23.38,0.08
S,5,Varese - Treviglio,0,13, Rho FieraMilano,,,6.12,6.42,6.42,7.12,7.42,8.12,8.42,9.12,9.42,10.12,10.12,10.42,11.12,11.12,11.42,11.42,12.12,12.42,12.42,13.12,13.42,14.12,14.42,15.12,15.42,16.12,16.42,16.42,17.12,17.42,18.12,18.42,19.12,19.42,20.12,20.42,21.12,21.42,21.42,22.12,22.42,22.42,23.12,23.42,23.42,0.12
S,5,Varese - Treviglio,0,14, Milano Certosa,5.17,5.46,6.18,6.48,6.48,7.18,7.48,8.18,8.48,9.18,9.48,10.18,10.18,10.48,11.18,11.18,11.48,11.48,12.18,12.48,12.48,13.18,13.48,14.18,14.48,15.18,15.48,16.18,16.48,16.48,17.18,17.48,18.18,18.48,19.18,19.48,20.18,20.48,21.18,21.48,21.48,22.18,22.48,22.48,23.18,23.48,23.48,0.18
S,5,Varese - Treviglio,0,15, Milano Villapizzone,5.20,5.49,6.21,6.51,6.51,7.21,7.51,8.21,8.51,9.21,9.51,10.21,10.21,10.51,11.21,11.21,11.51,11.51,12.21,12.51,12.51,13.21,13.51,14.21,14.51,15.21,15.51,16.21,16.51,16.51,17.21,17.51,18.21,18.51,19.21,19.51,20.21,20.51,21.21,21.51,21.51,22.21,22.51,22.51,23.21,23.50,23.50,0.21
S,5,Varese - Treviglio,0,16, Milano Lancetti,5.21,5.52,6.22,6.52,6.52,7.22,7.52,8.22,8.52,9.22,9.52,10.22,10.22,10.52,11.22,11.22,11.52,11.52,12.22,12.52,12.52,13.22,13.52,14.22,14.52,15.22,15.52,16.22,16.52,16.52,17.22,17.52,18.22,18.52,19.22,19.52,20.22,20.52,21.22,21.52,21.52,22.22,22.52,22.52,23.22,23.52,23.52,0.22
S,5,Varese - Treviglio,0,17, Milano Porta Garibaldi,5.24,5.55,6.25,6.55,6.55,7.25,7.55,8.25,8.55,9.25,9.55,10.25,10.25,10.55,11.25,11.25,11.55,11.55,12.25,12.55,12.55,13.25,13.55,14.25,14.55,15.25,15.55,16.25,16.55,16.55,17.25,17.55,18.25,18.55,19.25,19.55,20.25,20.55,21.25,21.55,21.55,22.25,22.55,22.55,23.25,23.55,23.55,0.25
S,5,Varese - Treviglio,0,18, Milano Repubblica,5.26,5.57,6.27,6.57,6.57,7.27,7.57,8.27,8.57,9.27,9.57,10.27,10.27,10.57,11.27,11.27,11.57,11.57,12.27,12.57,12.57,13.27,13.57,14.27,14.57,15.27,15.57,16.27,16.57,16.57,17.27,17.57,18.27,18.57,19.27,19.57,20.27,20.57,21.27,21.57,21.57,22.27,22.57,22.57,23.27,23.56,23.56,0.27
