Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;F;LV-S-F;LV-S-F;F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F
S;1;Saronno - Lodi;0;1;Saronno;;;;6.08;6.38;7.08;7.38;8.08;8.38;9.08;9.38;9.38;10.08;10.38;10.38;11.08;11.38;12.08;12.38;13.08;13.38;14.08;14.38;15.08;15.38;16.08;16.38;17.08;17.38;18.08;18.38;19.08;19.38;20.08;20.38;21.08;;;;
S;1;Saronno - Lodi;0;2;Saronno Sud;;;;6.11;6.41;7.11;7.41;8.11;8.41;9.11;9.41;9.41;10.11;10.41;10.41;11.11;11.41;12.11;12.41;13.11;13.41;14.11;14.41;15.11;15.41;16.11;16.41;17.11;17.41;18.11;18.41;19.11;19.41;20.11;20.41;21.11;;;;
S;1;Saronno - Lodi;0;3;Caronno Pertusella;;;;6.14;6.44;7.14;7.44;8.14;8.44;9.14;9.44;9.44;10.14;10.44;10.44;11.14;11.44;12.14;12.44;13.14;13.44;14.14;14.44;15.14;15.44;16.14;16.44;17.14;17.44;18.14;18.44;19.14;19.44;20.14;20.44;21.14;;;;
S;1;Saronno - Lodi;0;4;Cesate;;;;6.15;6.45;7.15;7.45;8.15;8.45;9.15;9.45;9.45;10.15;10.45;10.45;11.15;11.45;12.15;12.45;13.15;13.45;14.15;14.45;15.15;15.45;16.15;16.45;17.15;17.45;18.15;18.45;19.15;19.45;20.15;20.45;21.15;;;;
S;1;Saronno - Lodi;0;5;Garbagnate Milanese;;;;6.18;6.48;7.18;7.48;8.18;8.48;9.18;9.48;9.48;10.18;10.48;10.48;11.18;11.48;12.18;12.48;13.18;13.48;14.18;14.48;15.18;15.48;16.18;16.48;17.18;17.48;18.18;18.48;19.18;19.48;20.18;20.48;21.18;;;;
S;1;Saronno - Lodi;0;6;Garbagnate ;;;;6.19;6.49;7.19;7.49;8.19;8.49;9.19;9.49;9.49;10.19;10.49;10.49;11.19;11.49;12.19;12.49;13.19;13.49;14.19;14.49;15.19;15.49;16.19;16.49;17.19;17.49;18.19;18.49;19.19;19.49;20.19;20.49;21.19;;;;
S;1;Saronno - Lodi;0;7;Bollate Nord;;;;6.22;6.52;7.22;7.52;8.22;8.52;9.22;9.52;9.52;10.22;10.52;10.52;11.22;11.52;12.22;12.52;13.22;13.52;14.22;14.52;15.22;15.52;16.22;16.52;17.22;17.52;18.22;18.52;19.22;19.52;20.22;20.52;21.22;;;;
S;1;Saronno - Lodi;0;8; Bollate Centro;;;;6.25;6.55;7.25;7.55;8.25;8.55;9.25;9.55;9.55;10.25;10.55;10.55;11.25;11.55;12.25;12.55;13.25;13.55;14.25;14.55;15.25;15.55;16.25;16.55;17.25;17.55;18.25;18.55;19.25;19.55;20.25;20.55;21.25;;;;
S;1;Saronno - Lodi;0;9; Novate Milanese;;;;6.28;6.58;7.28;7.58;8.28;8.58;9.28;9.58;9.58;10.28;10.58;10.58;11.28;11.58;12.28;12.58;13.28;13.58;14.28;14.58;15.28;15.58;16.28;16.58;17.28;17.58;18.28;18.58;19.28;19.58;20.28;20.58;21.28;;;;
S;1;Saronno - Lodi;0;10; Milano Quarto Oggiaro;;;;6.31;7.01;7.31;8.01;8.31;9.01;9.31;10.01;10.01;10.31;11.01;11.01;11.31;12.01;12.31;13.01;13.31;14.01;14.31;15.01;15.31;16.01;16.31;17.01;17.31;18.01;18.31;19.01;19.31;20.01;20.31;21.01;21.31;;;;
S;1;Saronno - Lodi;0;11; Milano Bovisa;;5.36;6.06;6.36;7.06;7.36;8.06;8.36;9.06;9.36;10.06;10.06;10.36;11.06;11.06;11.36;12.06;12.36;13.06;13.36;14.06;14.36;15.06;15.36;16.06;16.36;17.06;17.36;18.06;18.36;19.06;19.36;20.06;20.36;21.06;21.36;22.06;22.36;23.06;23.36
S;1;Saronno - Lodi;0;12; Milano Lancetti;;5.43;6.13;6.42;7.12;7.42;8.12;8.42;9.12;9.42;10.12;10.12;10.42;11.12;11.12;11.42;12.12;12.42;13.12;13.42;14.12;14.42;15.12;15.42;16.12;16.42;17.12;17.42;18.12;18.42;19.12;19.42;20.12;20.42;21.12;21.42;22.12;22.42;23.12;23.42
S;1;Saronno - Lodi;0;13; Milano Porta Garibaldi;;5.46;6.16;6.45;7.15;7.45;8.15;8.45;9.15;9.45;10.15;10.15;10.45;11.15;11.15;11.45;12.15;12.45;13.15;13.45;14.15;14.45;15.15;15.45;16.15;16.45;17.15;17.45;18.15;18.45;19.15;19.45;20.15;20.45;21.15;21.45;22.15;22.45;23.15;23.45
S;1;Saronno - Lodi;0;14; Milano Repubblica;;5.48;6.18;6.47;7.17;7.47;8.17;8.47;9.17;9.47;10.17;10.17;10.47;11.17;11.17;11.47;12.17;12.47;13.17;13.47;14.17;14.47;15.17;15.47;16.17;16.47;17.17;17.47;18.17;18.47;19.17;19.47;20.17;20.47;21.17;21.47;22.17;22.47;23.17;23.47
S;1;Saronno - Lodi;0;15; Milano Porta Venezia;;5.50;6.20;6.49;7.19;7.49;8.19;8.49;9.19;9.49;10.19;10.19;10.49;11.19;11.19;11.49;12.19;12.49;13.19;13.49;14.19;14.49;15.19;15.49;16.19;16.49;17.19;17.49;18.19;18.49;19.19;19.49;20.19;20.49;21.19;21.49;22.19;22.49;23.19;23.49
S;1;Saronno - Lodi;0;16; Milano Dateo;;5.53;6.23;6.52;7.22;7.52;8.22;8.52;9.22;9.52;10.22;10.22;10.52;11.22;11.22;11.52;12.22;12.52;13.22;13.52;14.22;14.52;15.22;15.52;16.22;16.52;17.22;17.52;18.22;18.52;19.22;19.52;20.22;20.52;21.22;21.52;22.22;22.52;23.22;23.52
S;1;Saronno - Lodi;0;17; Milano Porta Vittoria;;5.56;6.26;6.56;7.26;7.56;8.26;8.56;9.26;9.56;10.26;10.26;10.56;11.26;11.26;11.56;12.26;12.56;13.26;13.56;14.26;14.56;15.26;15.56;16.26;16.56;17.26;17.56;18.26;18.56;19.26;19.56;20.26;20.56;21.26;21.56;22.26;22.56;23.26;23.56
S;1;Saronno - Lodi;0;18; Milano Rogoredo;5.35;6.05;6.35;7.05;7.35;8.05;8.35;9.05;9.35;10.05;10.35;10.35;11.05;11.35;11.35;12.05;12.35;13.05;13.35;14.05;14.35;15.05;15.35;16.05;16.35;17.05;17.35;18.05;18.35;19.05;19.35;20.05;20.35;21.05;21.35;22.05;22.35;23.05;23.35;0.05
S;1;Saronno - Lodi;0;19; S. Donato Milanese;5.40;6.10;6.40;7.10;7.40;8.10;8.40;9.10;9.40;10.10;;10.40;11.10;;11.40;12.10;12.40;13.10;13.40;14.10;14.40;15.10;15.40;16.10;16.40;17.10;17.40;18.10;18.40;19.10;19.40;20.10;20.40;21.10;21.40;22.10;22.40;23.10;23.40;0.09
S;1;Saronno - Lodi;0;20; Borgolombardo;5.43;6.13;6.43;7.13;7.43;8.13;8.43;9.13;9.43;10.13;;10.43;11.13;;11.43;12.13;12.43;13.13;13.43;14.13;14.43;15.13;15.43;16.13;16.43;17.13;17.43;18.13;18.43;19.13;19.43;20.13;20.43;21.13;21.43;22.13;22.43;23.13;23.43;0.12
S;1;Saronno - Lodi;0;21; S. Giuliano Milanese;5.46;6.16;6.46;7.16;7.46;8.16;8.46;9.16;9.46;10.16;;10.46;11.16;;11.46;12.16;12.46;13.16;13.46;14.16;14.46;15.16;15.46;16.16;16.46;17.16;17.46;18.16;18.46;19.16;19.46;20.16;20.46;21.16;21.46;22.16;22.46;23.16;23.46;0.16
S;1;Saronno - Lodi;0;22; Melegnano;5.50;6.20;6.50;7.20;7.50;8.20;8.50;9.20;9.50;10.20;;10.50;11.20;;11.50;12.20;12.50;13.20;13.50;14.20;14.50;15.20;15.50;16.20;16.50;17.20;17.50;18.20;18.50;19.20;19.50;20.20;20.50;21.20;21.50;22.20;22.50;23.20;23.50;0.20
S;1;Saronno - Lodi;0;23; S. Zenone al Lambro;5.55;6.25;6.55;7.25;7.55;8.25;8.55;9.25;9.55;10.25;;10.55;11.25;;11.55;12.25;12.55;13.25;13.55;14.25;14.55;15.25;15.55;16.25;16.55;17.25;17.55;18.25;18.55;19.25;19.55;20.25;20.55;21.25;21.55;22.25;22.55;23.25;23.55;0.25
S;1;Saronno - Lodi;0;24; Tavazzano;6.01;6.31;7.01;7.31;8.01;8.31;9.01;9.31;10.01;10.31;;11.01;11.31;;12.01;12.31;13.01;13.31;14.01;14.31;15.01;15.31;16.01;16.31;17.01;17.31;18.01;18.31;19.01;19.31;20.01;20.31;21.01;21.31;22.01;22.31;23.01;23.31;0.01;0.31
S;1;Saronno - Lodi;0;25; Lodi;6.07;6.37;7.07;7.37;8.07;8.37;9.07;9.37;10.07;10.37;;11.07;11.37;;12.07;12.37;13.07;13.37;14.07;14.37;15.07;15.37;16.07;16.37;17.07;17.37;18.07;18.37;19.07;19.37;20.07;20.37;21.07;21.37;22.07;22.37;23.07;23.37;0.07;0.37
S;1;Lodi - Saronno;1;1; Lodi;;   05.53;6.23;6.53;7.23;7.53;8.23;8.53;9.23;9.53;10.23;10.53;;11.23;11.53;;12.23;12.53;13.23;13.53;14.23;14.53;15.23;15.53;16.23;16.53;17.23;17.53;18.23;18.53;19.23;19.53;20.23;20.53;21.23;21.53;22.23;22.53;23.23;23.53
S;1;Lodi - Saronno;1;2; Tavazzano;;   05.59;6.29;6.59;7.29;7.59;8.29;8.59;9.29;9.59;10.29;10.59;;11.29;11.59;;12.29;12.59;13.29;13.59;14.29;14.59;15.29;15.59;16.29;16.59;17.29;17.59;18.29;18.59;19.29;19.59;20.29;20.59;21.29;21.59;22.29;22.59;23.29;23.59
S;1;Lodi - Saronno;1;3; S. Zenone al Lambro;;   06.04;6.34;7.04;7.34;8.04;8.34;9.04;9.34;10.04;10.34;11.04;;11.34;12.04;;12.34;13.04;13.34;14.04;14.34;15.04;15.34;16.04;16.34;17.04;17.34;18.04;18.34;19.04;19.34;20.04;20.34;21.04;21.34;22.04;22.34;23.04;23.34;0.04
S;1;Lodi - Saronno;1;4; Melegnano;;   06.08;6.38;7.08;7.38;8.08;8.38;9.08;9.38;10.08;10.38;11.08;;11.38;12.08;;12.38;13.08;13.38;14.08;14.38;15.08;15.38;16.08;16.38;17.08;17.38;18.08;18.38;19.08;19.38;20.08;20.38;21.08;21.38;22.08;22.38;23.08;23.38;0.08
S;1;Lodi - Saronno;1;5; S. Giuliano Milanese;;   06.13;6.43;7.13;7.43;8.13;8.43;9.13;9.43;10.13;10.43;11.13;;11.43;12.13;;12.43;13.13;13.43;14.13;14.43;15.13;15.43;16.13;16.43;17.13;17.43;18.13;18.43;19.13;19.43;20.13;20.43;21.13;21.43;22.13;22.43;23.13;23.43;0.13
S;1;Lodi - Saronno;1;6; Borgolombardo;;   06.16;6.46;7.16;7.46;8.16;8.46;9.16;9.46;10.16;10.46;11.16;;11.46;12.16;;12.46;13.16;13.46;14.16;14.46;15.16;15.46;16.16;16.46;17.16;17.46;18.16;18.46;19.16;19.46;20.16;20.46;21.16;21.46;22.16;22.46;23.16;23.46;0.16
S;1;Lodi - Saronno;1;7; S. Donato Milanese;;   06.20;6.50;7.20;7.50;8.20;8.50;9.20;9.50;10.20;10.50;11.20;;11.50;12.20;;12.50;13.20;13.50;14.20;14.50;15.20;15.50;16.20;16.50;17.20;17.50;18.20;18.50;19.20;19.50;20.20;20.50;21.20;21.50;22.20;22.50;23.20;23.50;0.20
S;1;Lodi - Saronno;1;8; Milano Rogoredo;5.57;   06.27;6.57;7.27;7.57;8.27;8.57;9.27;9.57;10.27;10.57;11.27;11.27;11.57;12.27;12.27;12.57;13.27;13.57;14.27;14.57;15.27;15.57;16.27;16.57;17.27;17.57;18.27;18.57;19.27;19.57;20.27;20.57;21.27;21.57;22.27;22.57;23.27;23.57;0.27
S;1;Lodi - Saronno;1;9; Milano Porta Vittoria;6.04;   06.34;7.04;7.34;8.04;8.34;9.04;9.34;10.04;10.34;11.04;11.34;11.34;12.04;12.34;12.34;13.04;13.34;14.04;14.34;15.04;15.34;16.04;16.34;17.04;17.34;18.04;18.34;19.04;19.34;20.04;20.34;21.04;21.34;22.04;22.34;23.04;23.34;0.04;0.34
S;1;Lodi - Saronno;1;10; Milano Dateo;6.06;   06.36;7.06;7.36;8.06;8.36;9.06;9.36;10.06;10.36;11.06;11.36;11.36;12.06;12.36;12.36;13.06;13.36;14.06;14.36;15.06;15.36;16.06;16.36;17.06;17.36;18.06;18.36;19.06;19.36;20.06;20.36;21.06;21.36;22.06;22.36;23.06;23.36;0.06;0.36
S;1;Lodi - Saronno;1;11; Milano Porta Venezia;6.08;   06.38;7.08;7.38;8.08;8.38;9.08;9.38;10.08;10.38;11.08;11.38;11.38;12.08;12.38;12.38;13.08;13.38;14.08;14.38;15.08;15.38;16.08;16.38;17.08;17.38;18.08;18.38;19.08;19.38;20.08;20.38;21.08;21.38;22.08;22.38;23.08;23.38;0.08;0.38
S;1;Lodi - Saronno;1;12; Milano Repubblica;6.10;   06.40;7.10;7.40;8.10;8.40;9.10;9.40;10.10;10.40;11.10;11.40;11.40;12.10;12.40;12.40;13.10;13.40;14.10;14.40;15.10;15.40;16.10;16.40;17.10;17.40;18.10;18.40;19.10;19.40;20.10;20.40;21.10;21.40;22.10;22.40;23.10;23.40;0.10;0.40
S;1;Lodi - Saronno;1;13; Milano Porta Garibaldi;6.13;   06.43;7.13;7.43;8.13;8.43;9.13;9.43;10.13;10.43;11.13;11.43;11.43;12.13;12.43;12.43;13.13;13.43;14.13;14.43;15.13;15.43;16.13;16.43;17.13;17.43;18.13;18.43;19.13;19.43;20.13;20.43;21.13;21.43;22.13;22.43;23.13;23.43;0.13;0.43
S;1;Lodi - Saronno;1;14; Milano Lancetti;6.17;   06.47;7.17;7.47;8.17;8.47;9.17;9.47;10.17;10.47;11.17;11.47;11.47;12.17;12.47;12.47;13.17;13.47;14.17;14.47;15.17;15.47;16.17;16.47;17.17;17.47;18.17;18.47;19.17;19.47;20.17;20.47;21.17;21.47;22.17;22.47;23.17;23.47;0.17;0.47
S;1;Lodi - Saronno;1;15; Milano Bovisa;6.26;   06.56;7.26;7.56;8.26;8.56;9.26;9.56;10.26;10.56;11.26;11.56;11.56;12.26;12.56;12.56;13.26;13.56;14.26;14.56;15.26;15.56;16.26;16.56;17.26;17.56;18.26;18.56;19.26;19.56;20.26;20.56;21.26;21.54;22.24;22.54;23.24;23.54;0.24;0.54
S;1;Lodi - Saronno;1;16; Milano Quarto Oggiaro;6.29;   06.59;7.29;7.59;8.29;8.59;9.29;9.59;10.29;10.59;11.29;11.59;11.59;12.29;12.59;12.59;13.29;13.59;14.29;14.59;15.29;15.59;16.29;16.59;17.29;17.59;18.29;18.59;19.29;19.59;20.29;20.59;21.29;;;;;;;
S;1;Lodi - Saronno;1;17; Novate Milanese;6.31;   07.01;7.31;8.01;8.31;9.01;9.31;10.01;10.31;11.01;11.31;12.01;12.01;12.31;13.01;13.01;13.31;14.01;14.31;15.01;15.31;16.01;16.31;17.01;17.31;18.01;18.31;19.01;19.31;20.01;20.31;21.01;21.31;;;;;;;
S;1;Lodi - Saronno;1;18; Bollate Centro;6.33;   07.03;7.33;8.03;8.33;9.03;9.33;10.03;10.33;11.03;11.33;12.03;12.03;12.33;13.03;13.03;13.33;14.03;14.33;15.03;15.33;16.03;16.33;17.03;17.33;18.03;18.33;19.03;19.33;20.03;20.33;21.03;21.33;;;;;;;
S;1;Lodi - Saronno;1;19;Bollate Nord;6.35;   07.05;7.35;8.05;8.35;9.05;9.35;10.05;10.35;11.05;11.35;12.05;12.05;12.35;13.05;13.05;13.35;14.05;14.35;15.05;15.35;16.05;16.35;17.05;17.35;18.05;18.35;19.05;19.35;20.05;20.35;21.05;21.35;;;;;;;
S;1;Lodi - Saronno;1;20;Garbagnate ;6.38;   07.08;7.38;8.08;8.38;9.08;9.38;10.08;10.38;11.08;11.38;12.08;12.08;12.38;13.08;13.08;13.38;14.08;14.38;15.08;15.38;16.08;16.38;17.08;17.38;18.08;18.38;19.08;19.38;20.08;20.38;21.08;21.38;;;;;;;
S;1;Lodi - Saronno;1;21;Garbagnate Milanese;6.41;   07.11;7.41;8.11;8.41;9.11;9.41;10.11;10.41;11.11;11.41;12.11;12.11;12.41;13.11;13.11;13.41;14.11;14.41;15.11;15.41;16.11;16.41;17.11;17.41;18.11;18.41;19.11;19.41;20.11;20.41;21.11;21.41;;;;;;;
S;1;Lodi - Saronno;1;22;Cesate;6.43;   07.13;7.43;8.13;8.43;9.13;9.43;10.13;10.43;11.13;11.43;12.13;12.13;12.43;13.13;13.13;13.43;14.13;14.43;15.13;15.43;16.13;16.43;17.13;17.43;18.13;18.43;19.13;19.43;20.13;20.43;21.13;21.43;;;;;;;
S;1;Lodi - Saronno;1;23;Caronno Pertusella;6.46;   07.16;7.46;8.16;8.46;9.16;9.46;10.16;10.46;11.16;11.46;12.16;12.16;12.46;13.16;13.16;13.46;14.16;14.46;15.16;15.46;16.16;16.46;17.16;17.46;18.16;18.46;19.16;19.46;20.16;20.46;21.16;21.46;;;;;;;
S;1;Lodi - Saronno;1;24;Saronno Sud;6.48;   07.18;7.48;8.18;8.48;9.18;9.48;10.18;10.48;11.18;11.48;12.18;12.18;12.48;13.18;13.18;13.48;14.18;14.48;15.18;15.48;16.18;16.48;17.18;17.48;18.18;18.48;19.18;19.48;20.18;20.48;21.18;21.48;;;;;;;
S;1;Lodi - Saronno;1;25;Saronno;6.52;   07.22;7.52;8.22;8.52;9.22;9.52;10.22;10.52;11.22;11.52;12.22;12.22;12.52;13.22;13.22;13.52;14.22;14.52;15.22;15.52;16.22;16.52;17.22;17.52;18.22;18.52;19.22;19.52;20.22;20.52;21.22;21.52;;;;;;;
;;;;;;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;F;LV-S-F;LV-S-F;F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F
