Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;
S;14;Rho - Milano Rogoredo;0;1;Rho;10.02;10.32;12.02;12.32;13.02;13.32;14.02;14.32;15.02;15.32;16.02;16.32;17.02;17.32;18.02;18.32;19.02;19.32;20.02;20.32;21.02;21.32;22.02;22.32;23.02;23.32;00.02;
S;14;Rho - Milano Rogoredo;0;2;Rho Fiera Expo Milano 2015;10.08;10.38;12.08;12.38;13.08;13.38;14.08;14.38;15.08;15.38;16.08;16.38;17.08;17.38;18.08;18.38;19.08;19.38;20.08;20.38;21.08;21.38;22.08;22.38;23.08;23.38;00.08;
S;14;Rho - Milano Rogoredo;0;3;Milano Certosa;10.13;10.43;12.13;12.43;13.13;13.43;14.13;14.43;15.13;15.43;16.13;16.43;17.13;17.43;18.13;18.43;19.13;19.43;20.13;20.43;21.13;21.43;22.13;22.43;23.13;23.43;00.13;
S;14;Rho - Milano Rogoredo;0;4;Milano Villapizzone;10.16;10.46;12.16;12.46;13.16;13.46;14.16;14.46;15.16;15.46;16.16;16.46;17.16;17.46;18.16;18.46;19.16;19.46;20.16;20.46;21.16;21.46;22.16;22.46;23.16;23.46;00.16;
S;14;Rho - Milano Rogoredo;0;5;Milano Lancetti ;10.21;10.51;12.21;12.51;13.21;13.51;14.21;14.51;15.21;15.51;16.20;16.50;17.20;17.50;18.20;18.50;19.20;19.50;20.20;20.50;21.20;21.50;22.20;22.50;23.20;23.50;00.20;
S;14;Rho - Milano Rogoredo;0;6;Milano Porta Garibaldi;10.23;10.53;12.23;12.53;13.23;13.53;14.23;14.53;15.23;15.53;16.23;16.53;17.23;17.53;18.23;18.53;19.23;19.53;20.23;20.53;21.23;21.53;22.23;22.53;23.23;23.53; 00.23;
S;14;Rho - Milano Rogoredo;0;7;Milano Repubblica;10.26;10.56;12.26;12.56;13.26;13.56;14.26;14.56;15.26;15.56;16.26;16.56;17.26;17.56;18.26;18.56;19.26;19.56;20.26;20.56;21.26;21.56;22.26;22.56;23.26;23.56; 00.26;
S;14;Rho - Milano Rogoredo;0;8;Milano Porta Venezia;10.28;10.58;12.28;12.58;13.28;13.58;14.28;14.58;15.28;15.58;16.27;16.57;17.27;17.57;18.27;18.57;19.27;19.57;20.27;20.57;21.27;21.57;22.27;22.57;23.27;23.57; 00.28;
S;14;Rho - Milano Rogoredo;0;9;Milano Dateo;10.30;11.00;12.30;13.00;13.30;14.00;14.30;15.00;15.30;16.00;16.30;17.00;17.30;18.00;18.30;19.00;19.30;20.00;20.30;21.00;21.30;22.00;22.30;23.00;23.30;00.00; 00.30;
S;14;Rho - Milano Rogoredo;0;10;Milano Porta Vittoria;10.33;11.03;12.33;13.03;13.33;14.03;14.33;15.03;15.33;16.03;16.33;17.03;17.33;18.03;18.33;19.03;19.33;20.03;20.33;21.03;21.33;22.03;22.33;23.03;23.33;0.03;0.33;
S;14;Rho - Milano Rogoredo;0;11;Milano Forlanini;10.37;11.07;12.37;13.07;13.37;14.07;14.37;15.07;15.37;16.07;16.37;17.07;17.37;18.07;18.37;19.07;19.37;20.07;20.37;21.07;21.37;22.07;22.37;23.07;23.37;0.07;0.37;
S;14;Rho - Milano Rogoredo;0;12;Milano Rogoredo;10.41;11.11;12.41;13.11;13.41;14.11;14.41;15.11;15.41;16.11;16.41;17.11;17.41;18.11;18.41;19.11;19.41;20.11;20.41;21.11;21.41;22.11;22.41;23.11;23.41;00.11; 00.41;
