Tipo;Linea;Percorso;verso;Prog;Fermata;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV;S-F;LV;S-F;LV;S-F;LV;S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F;LV-S-F
S;6;Novara - Treviglio;0;1; Novara;5.18;5.48;6.18;6.48;7.18;7.48;8.18;8.48;9.18;9.48;10.18;;10.48;10.40;11.18;;11.48;;12.18;12.48;13.18;13.48;14.18;14.48;15.18;15.48;16.18;16.48;17.18;17.48;18.18;18.48;19.18;19.48;20.18;20.48;21.18;21.48;22.18;22.48;23.18
S;6;Novara - Treviglio;0;2; Trecate;5.25;5.55;6.25;6.55;7.25;7.55;8.25;8.55;9.25;9.55;10.25;;10.55;10.47;11.25;;11.55;;12.25;12.55;13.25;13.55;14.25;14.55;15.25;15.55;16.25;16.55;17.25;17.55;18.25;18.55;19.25;19.55;20.25;20.55;21.25;21.55;22.25;22.55;23.25
S;6;Novara - Treviglio;0;3; Magenta;5.33;6.03;6.33;7.03;7.33;8.03;8.33;9.03;9.33;10.03;10.33;;11.03;10.55;11.33;;12.03;;12.33;13.03;13.33;14.03;14.33;15.03;15.33;16.03;16.33;17.03;17.33;18.03;18.33;19.03;19.33;20.03;20.33;21.03;21.33;22.03;22.33;23.03;23.33
S;6;Novara - Treviglio;0;4; Corbetta S: Stefano;5.37;6.07;6.37;7.07;7.37;8.07;8.37;9.07;9.37;10.07;10.37;;11.07;10.59;11.37;;12.07;;12.37;13.07;13.37;14.07;14.37;15.07;15.37;16.07;16.37;17.07;17.37;18.07;18.37;19.07;19.37;20.07;20.37;21.07;21.37;22.07;22.37;23.07;23.37
S;6;Novara - Treviglio;0;5; Vittuone;5.41;6.11;6.41;7.11;7.41;8.11;8.41;9.11;9.41;10.11;10.41;;11.11;11.03;11.41;;12.11;;12.41;13.11;13.41;14.11;14.41;15.11;15.41;16.11;16.41;17.11;17.41;18.11;18.41;19.11;19.41;20.11;20.41;21.11;21.41;22.11;22.41;23.11;23.41
S;6;Novara - Treviglio;0;6; Pregnana Milanese;5.46;6.16;6.46;7.16;7.46;8.16;8.46;9.16;9.46;10.16;10.46;;11.16;11.08;11.46;;12.16;;12.46;13.16;13.46;14.16;14.46;15.16;15.46;16.16;16.46;17.16;17.46;18.16;18.46;19.16;19.46;20.16;20.46;21.16;21.46;22.16;22.46;23.16;23.46
S;6;Novara - Treviglio;0;7; Rho;5.52;6.23;6.53;7.23;7.53;8.23;8.53;9.23;9.53;10.23;10.53;10.53;11.23;11.23;11.53;;12.23;;12.53;13.23;13.53;14.23;14.53;15.23;15.53;16.23;16.53;17.23;17.53;18.23;18.53;19.23;19.53;20.23;20.53;21.23;21.53;22.23;22.53;23.23;23.53
S;6;Novara - Treviglio;0;8; Rho FieraMilano;5.53;6.28;6.58;7.28;7.58;8.28;8.58;9.28;9.58;10.28;10.58;10.58;11.28;11.28;11.58;;12.28;;12.58;13.28;13.58;14.28;14.58;15.28;15.58;16.28;16.58;17.28;17.58;18.28;18.58;19.28;19.58;20.28;20.58;21.28;21.58;22.28;22.58;23.28;23.58
S;6;Novara - Treviglio;0;9; Milano Certosa;5.58;6.33;7.03;7.33;8.03;8.33;9.03;9.33;10.03;10.33;11.03;11.03;11.33;11.33;12.03;12.03;12.33;12.33;13.03;13.33;14.03;14.33;15.03;15.33;16.03;16.33;17.03;17.33;18.03;18.33;19.03;19.33;20.03;20.33;21.03;21.33;22.03;22.33;23.03;23.33;0.03
S;6;Novara - Treviglio;0;10; Milano Villapizzone;6.03;6.35;7.05;7.35;8.05;8.35;9.05;9.35;10.05;10.35;11.05;11.05;11.35;11.35;12.05;12.05;12.35;12.35;13.05;13.35;14.05;14.35;15.05;15.35;16.05;16.35;17.05;17.35;18.05;18.35;19.05;19.35;20.05;20.35;21.05;21.35;22.05;22.35;23.05;23.35;0.06
