"service_id","date","exception_type"
"LV","20150520","1"
"LV-S","20150520","1"
"LV-S-F","20150520","1"
"MAR-S","20150520","1"
"LV","20150521","1"
"LV-S","20150521","1"
"LV-S-F","20150521","1"
"MAR-S","20150521","1"
"LV","20150522","1"
"LV-S","20150522","1"
"LV-S-F","20150522","1"
"MAR-S","20150522","1"
"LV-S","20150523","1"
"LV-S-F","20150523","1"
"MAR-S","20150523","1"
"S-F","20150523","1"
"F","20150524","1"
"LV-S-F","20150524","1"
"S-F","20150524","1"
"LV","20150525","1"
"LV-S","20150525","1"
"LV-S-F","20150525","1"
"LV","20150526","1"
"LV-S","20150526","1"
"LV-S-F","20150526","1"
"MAR-S","20150526","1"
"LV","20150527","1"
"LV-S","20150527","1"
"LV-S-F","20150527","1"
"MAR-S","20150527","1"
"LV","20150528","1"
"LV-S","20150528","1"
"LV-S-F","20150528","1"
"MAR-S","20150528","1"
"LV","20150529","1"
"LV-S","20150529","1"
"LV-S-F","20150529","1"
"MAR-S","20150529","1"
"LV-S","20150530","1"
"LV-S-F","20150530","1"
"MAR-S","20150530","1"
"S-F","20150530","1"
"F","20150531","1"
"LV-S-F","20150531","1"
"S-F","20150531","1"
"LV-S","20150601","1"
"LV-S-F","20150601","1"
"MAR-S","20150601","1"
"S-F","20150601","1"
"F","20150602","1"
"LV-S-F","20150602","1"
"S-F","20150602","1"
"LV","20150603","1"
"LV-S","20150603","1"
"LV-S-F","20150603","1"
"MAR-S","20150603","1"
"LV","20150604","1"
"LV-S","20150604","1"
"LV-S-F","20150604","1"
"MAR-S","20150604","1"
"LV","20150605","1"
"LV-S","20150605","1"
"LV-S-F","20150605","1"
"MAR-S","20150605","1"
"LV-S","20150606","1"
"LV-S-F","20150606","1"
"MAR-S","20150606","1"
"S-F","20150606","1"
"F","20150607","1"
"LV-S-F","20150607","1"
"S-F","20150607","1"
"LV","20150608","1"
"LV-S","20150608","1"
"LV-S-F","20150608","1"
"LV","20150609","1"
"LV-S","20150609","1"
"LV-S-F","20150609","1"
"MAR-S","20150609","1"
"LV","20150610","1"
"LV-S","20150610","1"
"LV-S-F","20150610","1"
"MAR-S","20150610","1"
"LV","20150611","1"
"LV-S","20150611","1"
"LV-S-F","20150611","1"
"MAR-S","20150611","1"
"LV","20150612","1"
"LV-S","20150612","1"
"LV-S-F","20150612","1"
"MAR-S","20150612","1"
"LV-S","20150613","1"
"LV-S-F","20150613","1"
"MAR-S","20150613","1"
"S-F","20150613","1"
"F","20150614","1"
"LV-S-F","20150614","1"
"S-F","20150614","1"
"LV","20150615","1"
"LV-S","20150615","1"
"LV-S-F","20150615","1"
"LV","20150616","1"
"LV-S","20150616","1"
"LV-S-F","20150616","1"
"MAR-S","20150616","1"
"LV","20150617","1"
"LV-S","20150617","1"
"LV-S-F","20150617","1"
"MAR-S","20150617","1"
"LV","20150618","1"
"LV-S","20150618","1"
"LV-S-F","20150618","1"
"MAR-S","20150618","1"
"LV","20150619","1"
"LV-S","20150619","1"
"LV-S-F","20150619","1"
"MAR-S","20150619","1"
"LV-S","20150620","1"
"LV-S-F","20150620","1"
"MAR-S","20150620","1"
"S-F","20150620","1"
"F","20150621","1"
"LV-S-F","20150621","1"
"S-F","20150621","1"
"LV","20150622","1"
"LV-S","20150622","1"
"LV-S-F","20150622","1"
"LV","20150623","1"
"LV-S","20150623","1"
"LV-S-F","20150623","1"
"MAR-S","20150623","1"
"LV","20150624","1"
"LV-S","20150624","1"
"LV-S-F","20150624","1"
"MAR-S","20150624","1"
"LV","20150625","1"
"LV-S","20150625","1"
"LV-S-F","20150625","1"
"MAR-S","20150625","1"
"LV","20150626","1"
"LV-S","20150626","1"
"LV-S-F","20150626","1"
"MAR-S","20150626","1"
"LV-S","20150627","1"
"LV-S-F","20150627","1"
"MAR-S","20150627","1"
"S-F","20150627","1"
"F","20150628","1"
"LV-S-F","20150628","1"
"S-F","20150628","1"
"LV","20150629","1"
"LV-S","20150629","1"
"LV-S-F","20150629","1"
"LV","20150630","1"
"LV-S","20150630","1"
"LV-S-F","20150630","1"
"MAR-S","20150630","1"
"LV","20150701","1"
"LV-S","20150701","1"
"LV-S-F","20150701","1"
"MAR-S","20150701","1"
"LV","20150702","1"
"LV-S","20150702","1"
"LV-S-F","20150702","1"
"MAR-S","20150702","1"
"LV","20150703","1"
"LV-S","20150703","1"
"LV-S-F","20150703","1"
"MAR-S","20150703","1"
"LV-S","20150704","1"
"LV-S-F","20150704","1"
"MAR-S","20150704","1"
"S-F","20150704","1"
"F","20150705","1"
"LV-S-F","20150705","1"
"S-F","20150705","1"
"LV","20150706","1"
"LV-S","20150706","1"
"LV-S-F","20150706","1"
"LV","20150707","1"
"LV-S","20150707","1"
"LV-S-F","20150707","1"
"MAR-S","20150707","1"
"LV","20150708","1"
"LV-S","20150708","1"
"LV-S-F","20150708","1"
"MAR-S","20150708","1"
"LV","20150709","1"
"LV-S","20150709","1"
"LV-S-F","20150709","1"
"MAR-S","20150709","1"
"LV","20150710","1"
"LV-S","20150710","1"
"LV-S-F","20150710","1"
"MAR-S","20150710","1"
"LV-S","20150711","1"
"LV-S-F","20150711","1"
"MAR-S","20150711","1"
"S-F","20150711","1"
"F","20150712","1"
"LV-S-F","20150712","1"
"S-F","20150712","1"
"LV","20150713","1"
"LV-S","20150713","1"
"LV-S-F","20150713","1"
"LV","20150714","1"
"LV-S","20150714","1"
"LV-S-F","20150714","1"
"MAR-S","20150714","1"
"LV","20150715","1"
"LV-S","20150715","1"
"LV-S-F","20150715","1"
"MAR-S","20150715","1"
"LV","20150716","1"
"LV-S","20150716","1"
"LV-S-F","20150716","1"
"MAR-S","20150716","1"
"LV","20150717","1"
"LV-S","20150717","1"
"LV-S-F","20150717","1"
"MAR-S","20150717","1"
"LV-S","20150718","1"
"LV-S-F","20150718","1"
"MAR-S","20150718","1"
"S-F","20150718","1"
"F","20150719","1"
"LV-S-F","20150719","1"
"S-F","20150719","1"
"LV","20150720","1"
"LV-S","20150720","1"
"LV-S-F","20150720","1"
"LV","20150721","1"
"LV-S","20150721","1"
"LV-S-F","20150721","1"
"MAR-S","20150721","1"
"LV","20150722","1"
"LV-S","20150722","1"
"LV-S-F","20150722","1"
"MAR-S","20150722","1"
"LV","20150723","1"
"LV-S","20150723","1"
"LV-S-F","20150723","1"
"MAR-S","20150723","1"
"LV","20150724","1"
"LV-S","20150724","1"
"LV-S-F","20150724","1"
"MAR-S","20150724","1"
"LV-S","20150725","1"
"LV-S-F","20150725","1"
"MAR-S","20150725","1"
"S-F","20150725","1"
"F","20150726","1"
"LV-S-F","20150726","1"
"S-F","20150726","1"
"LV","20150727","1"
"LV-S","20150727","1"
"LV-S-F","20150727","1"
"LV","20150728","1"
"LV-S","20150728","1"
"LV-S-F","20150728","1"
"MAR-S","20150728","1"
"LV","20150729","1"
"LV-S","20150729","1"
"LV-S-F","20150729","1"
"MAR-S","20150729","1"
"LV","20150730","1"
"LV-S","20150730","1"
"LV-S-F","20150730","1"
"MAR-S","20150730","1"
"LV","20150731","1"
"LV-S","20150731","1"
"LV-S-F","20150731","1"
"MAR-S","20150731","1"
"LV-S","20150801","1"
"LV-S-F","20150801","1"
"MAR-S","20150801","1"
"S-F","20150801","1"
"F","20150802","1"
"LV-S-F","20150802","1"
"S-F","20150802","1"
"LV-S","20150803","1"
"LV-S-F","20150803","1"
"MAR-S","20150803","1"
"S-F","20150803","1"
"LV-S","20150804","1"
"LV-S-F","20150804","1"
"MAR-S","20150804","1"
"S-F","20150804","1"
"LV-S","20150805","1"
"LV-S-F","20150805","1"
"MAR-S","20150805","1"
"S-F","20150805","1"
"LV-S","20150806","1"
"LV-S-F","20150806","1"
"MAR-S","20150806","1"
"S-F","20150806","1"
"LV-S","20150807","1"
"LV-S-F","20150807","1"
"MAR-S","20150807","1"
"S-F","20150807","1"
"LV-S","20150808","1"
"LV-S-F","20150808","1"
"MAR-S","20150808","1"
"S-F","20150808","1"
"F","20150809","1"
"LV-S-F","20150809","1"
"S-F","20150809","1"
"LV-S","20150810","1"
"LV-S-F","20150810","1"
"MAR-S","20150810","1"
"S-F","20150810","1"
"LV-S","20150811","1"
"LV-S-F","20150811","1"
"MAR-S","20150811","1"
"S-F","20150811","1"
"LV-S","20150812","1"
"LV-S-F","20150812","1"
"MAR-S","20150812","1"
"S-F","20150812","1"
"LV-S","20150813","1"
"LV-S-F","20150813","1"
"MAR-S","20150813","1"
"S-F","20150813","1"
"LV-S","20150814","1"
"LV-S-F","20150814","1"
"MAR-S","20150814","1"
"S-F","20150814","1"
"F","20150815","1"
"LV-S-F","20150815","1"
"S-F","20150815","1"
"F","20150816","1"
"LV-S-F","20150816","1"
"S-F","20150816","1"
"LV-S","20150817","1"
"LV-S-F","20150817","1"
"MAR-S","20150817","1"
"S-F","20150817","1"
"LV-S","20150818","1"
"LV-S-F","20150818","1"
"MAR-S","20150818","1"
"S-F","20150818","1"
"LV-S","20150819","1"
"LV-S-F","20150819","1"
"MAR-S","20150819","1"
"S-F","20150819","1"
"LV-S","20150820","1"
"LV-S-F","20150820","1"
"MAR-S","20150820","1"
"S-F","20150820","1"
"LV-S","20150821","1"
"LV-S-F","20150821","1"
"MAR-S","20150821","1"
"S-F","20150821","1"
"LV-S","20150822","1"
"LV-S-F","20150822","1"
"MAR-S","20150822","1"
"S-F","20150822","1"
"F","20150823","1"
"LV-S-F","20150823","1"
"S-F","20150823","1"
"LV","20150824","1"
"LV-S","20150824","1"
"LV-S-F","20150824","1"
"LV","20150825","1"
"LV-S","20150825","1"
"LV-S-F","20150825","1"
"MAR-S","20150825","1"
"LV","20150826","1"
"LV-S","20150826","1"
"LV-S-F","20150826","1"
"MAR-S","20150826","1"
"LV","20150827","1"
"LV-S","20150827","1"
"LV-S-F","20150827","1"
"MAR-S","20150827","1"
"LV","20150828","1"
"LV-S","20150828","1"
"LV-S-F","20150828","1"
"MAR-S","20150828","1"
"LV-S","20150829","1"
"LV-S-F","20150829","1"
"MAR-S","20150829","1"
"S-F","20150829","1"
"F","20150830","1"
"LV-S-F","20150830","1"
"S-F","20150830","1"
"LV","20150831","1"
"LV-S","20150831","1"
"LV-S-F","20150831","1"
"LV","20150901","1"
"LV-S","20150901","1"
"LV-S-F","20150901","1"
"MAR-S","20150901","1"
"LV","20150902","1"
"LV-S","20150902","1"
"LV-S-F","20150902","1"
"MAR-S","20150902","1"
"LV","20150903","1"
"LV-S","20150903","1"
"LV-S-F","20150903","1"
"MAR-S","20150903","1"
"LV","20150904","1"
"LV-S","20150904","1"
"LV-S-F","20150904","1"
"MAR-S","20150904","1"
"LV-S","20150905","1"
"LV-S-F","20150905","1"
"MAR-S","20150905","1"
"S-F","20150905","1"
"F","20150906","1"
