"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"Rho-Chiasso","45.776872","9.073108","16",""
"Rho-Chiasso","45.809099","9.072701","17",""
"Albairate-Milano Porta Garibaldi","45.404525","8.957634","1",""
"Albairate-Milano Porta Garibaldi","45.408709","9.031126","2",""
"Albairate-Milano Porta Garibaldi","45.420449","9.067047","3",""
"Albairate-Milano Porta Garibaldi","45.430402","9.09161","4",""
"Albairate-Milano Porta Garibaldi","45.43607","9.109301","5",""
"Albairate-Milano Porta Garibaldi","45.442534","9.130175","6",""
"Albairate-Milano Porta Garibaldi","45.4440207880837","9.16766185606384","7",""
"Albairate-Milano Porta Garibaldi","45.4459008052189","9.21381115076734","8",""
"Albairate-Milano Porta Garibaldi","45.4558103778789","9.23683413881649","9",""
"Albairate-Milano Porta Garibaldi","45.485","9.237","10",""
"Albairate-Milano Porta Garibaldi","45.484597","9.187596","11",""
"Albairate-Saronno","45.404525","8.957634","1",""
"Albairate-Saronno","45.408709","9.031126","2",""
"Albairate-Saronno","45.420449","9.067047","3",""
"Albairate-Saronno","45.430402","9.09161","4",""
"Albairate-Saronno","45.43607","9.109301","5",""
"Albairate-Saronno","45.442534","9.130175","6",""
"Albairate-Saronno","45.4440207880837","9.16766185606384","7",""
"Albairate-Saronno","45.4459008052189","9.21381115076734","8",""
"Albairate-Saronno","45.4558103778789","9.23683413881649","9",""
"Albairate-Saronno","45.485","9.237","10",""
"Albairate-Saronno","45.512914","9.214186","12",""
"Albairate-Saronno","45.54131","9.238933","13",""
"Albairate-Saronno","45.577974","9.272921","14",""
"Albairate-Saronno","45.606069","9.235468","15",""
"Albairate-Saronno","45.620132","9.218321","16",""
"Albairate-Saronno","45.646111","9.203005","17",""
"Rho-Chiasso","45.834719","9.031944","18",""
"Albairate-Saronno","45.64831","9.14044","18",""
"Albairate-Saronno","45.631663","9.141807","19",""
"Albairate-Saronno","45.629022494514","9.11788796555414","20",""
"Albairate-Saronno","45.6272083706864","9.1000531657049","21",""
