"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"1_0_1","05:35:00","05:35:00","S01820","18","","0","0",""
"1_0_1","05:40:00","05:40:00","S01624","19","","0","0",""
"1_0_1","05:43:00","05:43:00","S01830","20","","0","0",""
"1_0_1","05:46:00","05:46:00","S01821","21","","0","0",""
"1_0_1","05:50:00","05:50:00","S01822","22","","0","0",""
"1_0_1","05:55:00","05:55:00","S01823","23","","0","0",""
"1_0_1","06:01:00","06:01:00","S01824","24","","0","0",""
"1_0_1","06:07:00","06:07:00","S01825","25","","0","0",""
"1_0_10","09:08:00","09:08:00","S01933","1","","0","0",""
"1_0_10","09:11:00","09:11:00","S01077","2","","0","0",""
"1_0_10","09:14:00","09:14:00","S01076","3","","0","0",""
"1_0_10","09:15:00","09:15:00","S01075","4","","0","0",""
"1_0_10","09:18:00","09:18:00","S01074","5","","0","0",""
"1_0_10","09:22:00","09:22:00","S01072","7","","0","0",""
"1_0_10","09:25:00","09:25:00","S01071","8","","0","0",""
"1_0_10","09:28:00","09:28:00","S01070","9","","0","0",""
"1_0_10","09:31:00","09:31:00","S01069","10","","0","0",""
"1_0_10","09:36:00","09:36:00","S01642","11","","0","0",""
"1_0_10","09:42:00","09:42:00","S01643","12","","0","0",""
"1_0_10","09:45:00","09:45:00","S01645","13","","0","0",""
"1_0_10","09:47:00","09:47:00","S01648","14","","0","0",""
"1_0_10","09:49:00","09:49:00","S01649","15","","0","0",""
"1_0_10","09:52:00","09:52:00","S01650","16","","0","0",""
"1_0_10","09:56:00","09:56:00","S01633","17","","0","0",""
"1_0_10","10:05:00","10:05:00","S01820","18","","0","0",""
"1_0_10","10:10:00","10:10:00","S01624","19","","0","0",""
"1_0_10","10:13:00","10:13:00","S01830","20","","0","0",""
"1_0_10","10:16:00","10:16:00","S01821","21","","0","0",""
"1_0_10","10:20:00","10:20:00","S01822","22","","0","0",""
"1_0_10","10:25:00","10:25:00","S01823","23","","0","0",""
"1_0_10","10:31:00","10:31:00","S01824","24","","0","0",""
"1_0_10","10:37:00","10:37:00","S01825","25","","0","0",""
"1_0_11","09:38:00","09:38:00","S01933","1","","0","0",""
"1_0_11","09:41:00","09:41:00","S01077","2","","0","0",""
"1_0_11","09:44:00","09:44:00","S01076","3","","0","0",""
"1_0_11","09:45:00","09:45:00","S01075","4","","0","0",""
"1_0_11","09:48:00","09:48:00","S01074","5","","0","0",""
"1_0_11","09:52:00","09:52:00","S01072","7","","0","0",""
"1_0_11","09:55:00","09:55:00","S01071","8","","0","0",""
"1_0_11","09:58:00","09:58:00","S01070","9","","0","0",""
"1_0_11","10:01:00","10:01:00","S01069","10","","0","0",""
"1_0_11","10:06:00","10:06:00","S01642","11","","0","0",""
"1_0_11","10:12:00","10:12:00","S01643","12","","0","0",""
"1_0_11","10:15:00","10:15:00","S01645","13","","0","0",""
"1_0_11","10:17:00","10:17:00","S01648","14","","0","0",""
"1_0_11","10:19:00","10:19:00","S01649","15","","0","0",""
"1_0_11","10:22:00","10:22:00","S01650","16","","0","0",""
"1_0_11","10:26:00","10:26:00","S01633","17","","0","0",""
"1_0_11","10:35:00","10:35:00","S01820","18","","0","0",""
"1_0_12","09:38:00","09:38:00","S01933","1","","0","0",""
"1_0_12","09:41:00","09:41:00","S01077","2","","0","0",""
"1_0_12","09:44:00","09:44:00","S01076","3","","0","0",""
"1_0_12","09:45:00","09:45:00","S01075","4","","0","0",""
"1_0_12","09:48:00","09:48:00","S01074","5","","0","0",""
"1_0_12","09:52:00","09:52:00","S01072","7","","0","0",""
"1_0_12","09:55:00","09:55:00","S01071","8","","0","0",""
"1_0_12","09:58:00","09:58:00","S01070","9","","0","0",""
"1_0_12","10:01:00","10:01:00","S01069","10","","0","0",""
"1_0_12","10:06:00","10:06:00","S01642","11","","0","0",""
"1_0_12","10:12:00","10:12:00","S01643","12","","0","0",""
"1_0_12","10:15:00","10:15:00","S01645","13","","0","0",""
"1_0_12","10:17:00","10:17:00","S01648","14","","0","0",""
"1_0_12","10:19:00","10:19:00","S01649","15","","0","0",""
"1_0_12","10:22:00","10:22:00","S01650","16","","0","0",""
"1_0_12","10:26:00","10:26:00","S01633","17","","0","0",""
"1_0_12","10:35:00","10:35:00","S01820","18","","0","0",""
"1_0_12","10:40:00","10:40:00","S01624","19","","0","0",""
"1_0_12","10:43:00","10:43:00","S01830","20","","0","0",""
"1_0_12","10:46:00","10:46:00","S01821","21","","0","0",""
"1_0_12","10:50:00","10:50:00","S01822","22","","0","0",""
"1_0_12","10:55:00","10:55:00","S01823","23","","0","0",""
"1_0_12","11:01:00","11:01:00","S01824","24","","0","0",""
"1_0_12","11:07:00","11:07:00","S01825","25","","0","0",""
"1_0_13","10:08:00","10:08:00","S01933","1","","0","0",""
"1_0_13","10:11:00","10:11:00","S01077","2","","0","0",""
"1_0_13","10:14:00","10:14:00","S01076","3","","0","0",""
"1_0_13","10:15:00","10:15:00","S01075","4","","0","0",""
"1_0_13","10:18:00","10:18:00","S01074","5","","0","0",""
"1_0_13","10:22:00","10:22:00","S01072","7","","0","0",""
"1_0_13","10:25:00","10:25:00","S01071","8","","0","0",""
"1_0_13","10:28:00","10:28:00","S01070","9","","0","0",""
"1_0_13","10:31:00","10:31:00","S01069","10","","0","0",""
"1_0_13","10:36:00","10:36:00","S01642","11","","0","0",""
"1_0_13","10:42:00","10:42:00","S01643","12","","0","0",""
"1_0_13","10:45:00","10:45:00","S01645","13","","0","0",""
"1_0_13","10:47:00","10:47:00","S01648","14","","0","0",""
"1_0_13","10:49:00","10:49:00","S01649","15","","0","0",""
"1_0_13","10:52:00","10:52:00","S01650","16","","0","0",""
