"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"S1","LV-S-F","1_0_1","Lodi","","0","","Milano Rogoredo-Lodi",""
"S1","LV-S-F","1_0_10","Lodi","","0","","Saronno-Lodi",""
"S1","F","1_0_11","Milano Rogoredo","","0","","Saronno-Milano Rogoredo",""
"S1","LV-S-F","1_0_12","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_13","Lodi","","0","","Saronno-Lodi",""
"S1","F","1_0_14","Milano Rogoredo","","0","","Saronno-Milano Rogoredo",""
"S1","LV-S-F","1_0_15","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_16","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_17","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_18","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_19","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_2","Lodi","","0","","Milano Bovisa-Lodi",""
"S1","LV-S-F","1_0_20","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_21","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_22","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_23","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_24","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_25","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_26","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_27","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_28","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_29","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_3","Lodi","","0","","Milano Bovisa-Lodi",""
"S1","LV-S-F","1_0_30","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_31","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_32","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_33","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_34","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_35","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_36","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_37","Lodi","","0","","Milano Bovisa-Lodi",""
"S1","LV-S-F","1_0_38","Lodi","","0","","Milano Bovisa-Lodi",""
"S1","LV-S-F","1_0_39","Lodi","","0","","Milano Bovisa-Lodi",""
"S1","LV-S-F","1_0_4","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_40","Lodi","","0","","Milano Bovisa-Lodi",""
"S1","LV-S-F","1_0_5","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_6","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_7","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_8","Lodi","","0","","Saronno-Lodi",""
"S1","LV-S-F","1_0_9","Lodi","","0","","Saronno-Lodi",""
"S11","LV-S-F","11_0_1","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_10","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_11","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_12","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_13","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_14","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_15","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_16","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_17","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_18","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_19","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_2","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_20","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_21","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_22","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_23","Rho","","0","","Como San Giovanni-Rho",""
"S11","LV-S-F","11_0_24","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_25","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_26","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_27","Rho","","0","","Como San Giovanni-Rho",""
"S11","LV-S-F","11_0_28","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_29","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_3","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_30","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_31","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_32","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_33","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_34","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_35","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_36","Milano Porta Garibaldi","","0","","Chiasso-Milano Porta Garibaldi",""
"S11","LV-S-F","11_0_4","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_5","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_6","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_7","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_8","Rho","","0","","Chiasso-Rho",""
"S11","LV-S-F","11_0_9","Rho","","0","","Chiasso-Rho",""
"S1","LV-S-F","1_1_1","Saronno","","1","","Milano Rogoredo-Saronno",""
"S1","LV-S-F","1_1_10","Saronno","","1","","Lodi-Saronno",""
